id,class,order,family,species,iucn,criteria,population,systems,realm
18,Mammalia,Rodentia,Abrocomidae,Abrocoma boliviensis,CR,"B1ab(i,ii,iii)",Decreasing,Terrestrial,Neotropical
20,Reptilia,Squamata,Anguidae,Abronia montecristoi,EN,B1ab(iii),Decreasing,Terrestrial,Neotropical
75,Reptilia,Testudines,Chelidae,Acanthochelys pallidipectoris,EN,A2cde+3cde+4cde; C1+2a(i),Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical
76,Reptilia,Testudines,Chelidae,Acanthochelys spixii,LR_NT,,,Terrestrial|Freshwater (=Inland waters),Neotropical
78,Reptilia,Testudines,Chelidae,Acanthochelys radiolata,LR_NT,,,Terrestrial|Freshwater (=Inland waters),Neotropical
137,Mammalia,Chiroptera,Pteropodidae,Acerodon celebensis,VU,A2cd,Decreasing,Terrestrial,Australasian
138,Mammalia,Chiroptera,Pteropodidae,Acerodon humilis,EN,"B1ab(iii,v)",Decreasing,Terrestrial,Australasian
139,Mammalia,Chiroptera,Pteropodidae,Acerodon jubatus,EN,A2cd,Decreasing,Terrestrial,Indomalayan
140,Mammalia,Chiroptera,Pteropodidae,Acerodon leucotis,VU,A4cd,Decreasing,Terrestrial,Indomalayan
142,Mammalia,Chiroptera,Pteropodidae,Acerodon mackloti,VU,A3cd,Decreasing,Terrestrial,Australasian
161,Reptilia,Squamata,Xenodermidae,Achalinus werneri,NT,B1a,Unknown,Terrestrial,Palearctic
219,Mammalia,Carnivora,Felidae,Acinonyx jubatus,VU,A4b; C1,Decreasing,Terrestrial,Afrotropical|Palearctic
263,Mammalia,Rodentia,Muridae,Acomys cahirinus,LC,,Stable,Terrestrial,Afrotropical|Palearctic
264,Mammalia,Rodentia,Muridae,Acomys cilicicus,DD,,Unknown,Terrestrial,Palearctic
265,Mammalia,Rodentia,Muridae,Acomys cineraceus,LC,,Stable,Terrestrial,Afrotropical
266,Mammalia,Rodentia,Muridae,Acomys ignitus,LC,,Stable,Terrestrial,Afrotropical
267,Mammalia,Rodentia,Muridae,Acomys kempi,LC,,Stable,Terrestrial,Afrotropical
268,Mammalia,Rodentia,Muridae,Acomys louisae,LC,,Stable,Terrestrial,Afrotropical
269,Mammalia,Rodentia,Muridae,Acomys minous,DD,,Unknown,Terrestrial,Palearctic
270,Mammalia,Rodentia,Muridae,Acomys mullah,LC,,Unknown,Terrestrial,Afrotropical
271,Mammalia,Rodentia,Muridae,Acomys nesiotes,DD,,Unknown,Terrestrial,Palearctic
272,Mammalia,Rodentia,Muridae,Acomys percivali,LC,,Stable,Terrestrial,Afrotropical
273,Mammalia,Rodentia,Muridae,Acomys russatus,LC,,Unknown,Terrestrial,Palearctic
275,Mammalia,Rodentia,Muridae,Acomys subspinosus,LC,,Stable,Terrestrial,Afrotropical
276,Mammalia,Rodentia,Muridae,Acomys wilsoni,LC,,Stable,Terrestrial,Afrotropical
278,Mammalia,Rodentia,Octodontidae,Aconaemys fuscus,LC,,Unknown,Terrestrial,Neotropical
279,Mammalia,Rodentia,Octodontidae,Aconaemys sagei,DD,,Unknown,Terrestrial,Neotropical
282,Reptilia,Squamata,Boidae,Acrantophis dumerili,LC,,Stable,Terrestrial,Afrotropical
283,Reptilia,Squamata,Boidae,Acrantophis madagascariensis,LC,,Stable,Terrestrial,Afrotropical
512,Mammalia,Artiodactyla,Bovidae,Addax nasomaculatus,CR,A2cd; C2a(ii); D,Decreasing,Terrestrial,Palearctic
