id,species,synonyms
17879,Abeomelomys sevia,Pogonomelomys sevia
17879,Abeomelomys sevia,Melomys sevia
48839409,Ablepharus bivittatus,Scincus bivittatus
48839409,Ablepharus bivittatus,Asymblepharus bivittatus
61450,Ablepharus budaki,Ablepharus kitaibellii
178546,Ablepharus deserti,Ablepharus tenuis
178546,Ablepharus deserti,Ablepharus turkestanicus
47756048,Ablepharus grayanus,Blepharosteres grayanus
48839132,Ablepharus lindbergi,Ablepharus bivittatus
164747,Ablepharus pannonicus,Ablepharus persicus
164747,Ablepharus pannonicus,Scincus pannonicus
164747,Ablepharus pannonicus,Ablepharus festae
164747,Ablepharus pannonicus,Scincus pannonicus
164747,Ablepharus pannonicus,Riopa rueppelli
164747,Ablepharus pannonicus,Blepharosteres agilis
164747,Ablepharus pannonicus,Ablepharus pusillus
164747,Ablepharus pannonicus,Ablepharus brandtii
61451,Ablepharus rueppellii,Ablepharus kitaibellii
63712,Abronia antauges,Barisia antauges
63712,Abronia antauges,Mesaspis antauges
203013,Abronia aurita,Gerrhonotus auritus
63676,Abronia deppii,Gerrhonotus deppii
203015,Abronia fimbriata,Barissia fimbriata
63677,Abronia fuscolabialis,Gerrhonotus fuscolabialis
63677,Abronia fuscolabialis,Abronia kalaina
63713,Abronia gadovii,Gerrhonotus gadovii
63713,Abronia gadovii,Mesaspis gadovii
63678,Abronia graminea,Gerrhonotus gramineus
63714,Abronia juarezi,Barisia juarezi
63714,Abronia juarezi,Mesaspis juarezi
63682,Abronia matudai,Gerrhonotus matudae
176253,Abronia monticola,Gerrhonotus alfaroi
176253,Abronia monticola,Gerrhonotus monticolus
176253,Abronia monticola,Barisia monticola
176253,Abronia monticola,Mesaspis monticola
176254,Abronia moreletii,Gerrhonotus moreletii
176254,Abronia moreletii,Gerrhonotus fulvus
176254,Abronia moreletii,Barisia moreletii
176254,Abronia moreletii,Gerrhonotus moreletii
176254,Abronia moreletii,Mesaspis moreletii
176254,Abronia moreletii,Gerrhonotus moreletii
176254,Abronia moreletii,Barisia moreletii
63685,Abronia oaxacae,Gerrhonotus oaxacae
63686,Abronia ochoterenai,Gerrhonotus vasconcelosii
63691,Abronia taeniata,Gerrhonotus taeniatus
