"species","last_seen","rediscovery_date"
"Abronia anzuetoi",1974,NA
"Abronia campbelli",1993,2010
"Abronia frosti",1998,2010
"Abronia mitchelli",1974,NA
"Abronia ochoterenai",1935,NA
"Abronia ornelasi",1985,NA
"Abronia ramirezi",1990,NA
"Acanthodactylus spinicauda",1901,2015
"Acanthosaura bintangensis",2008,NA
"Acanthosaura brachypoda",2006,NA
"Acerodon humilis",1899,1999
"Acrocephalus longirostris",1981,NA
"Acrocephalus orinus",1867,2006
"Actenoides bougainvillei",1953,1994
"Adenomus kandianus",1872,2009
"Adercosaurus vixadnexus",1995,NA
"Aegotheles savesi",1998,NA
"Aegotheles tatei",1969,2003
"Aepypodius bruijnii",1938,2002
"Agama lucyae",1964,NA
"Aipysurus apraefrontalis",2000,2015
"Aipysurus foliosquama",2001,2015
"Aipysurus fuscus",2005,NA
"Alinea lanceolata",1889,NA
"Allobates caribe",2000,NA
"Allobates humilis",1980,2002
"Allobates mcdiarmidi",2005,NA
"Allobates ranoides",2001,NA
"Allocebus trichotis",1875,1989
"Alopoglossus lehmanni",1962,NA
"Alsodes montanus",1902,1964
"Alsophis antiguae",1936,1965
"Altiphrynoides osgoodi",2003,NA
"Amaurocichla bocagii",1928,1990
"Amazilia alfaroana",1895,NA
"Amblyornis flavifrons",1895,1981
"Ameerega boliviana",1902,1998
"Ameerega planipaleae",1996,2007
"Amerotyphlops tasymicris",1968,2010
"Amolops kaulbacki",1935,NA
"Amolops mengyangensis",1957,NA
"Amphiglossus mandady",1999,NA
"Amphiglossus spilostichus",1996,NA
"Amphiglossus stylus",1999,NA
"Amphisbaena absaberi",1993,NA
"Amphisbaena acrobeles",2003,NA
"Amphisbaena arda",2000,NA
"Amphisbaena bagual",2002,NA
"Amphisbaena brevis",2001,NA
"Amphisbaena carlgansi",1994,2019
"Amphisbaena cayemite",1971,NA
"Amphisbaena leali",1991,NA
"Amphisbaena myersi",1963,NA
"Amphisbaena polygrammica",1900,NA
"Amphisbaena rozei",1953,NA
"Amphisbaena stejnegeri",1921,NA
"Amphisbaena tragorrhectes",1968,NA
"Anadia altaserrania",1939,NA
"Anadia blakei",1992,NA
"Anas nesiotis",1886,1975
"Andinobates abditus",1974,NA
"Andinobates viridis",2005,NA
"Anilios insperatus",1992,NA
"Anodorhynchus glaucus",2001,NA
"Anodorhynchus leari",1856,1978
"Anolis alfaroi",1990,2020
"Anolis altitudinalis",1989,NA
"Anolis birama",1980,2019
"Anolis carlostoddi",1984,NA
"Anolis garridoi",1991,2020
"Anolis incredulus",1963,NA
"Anolis juangundlachi",2008,NA
"Anolis laevis",1850,NA
"Anolis lamari",1980,NA
"Anolis oporinus",1990,NA
"Anolis paravertebralis",1920,NA
"Anolis proboscis",1955,2005
"Anolis radulinus",1862,NA
"Anolis roosevelti",1932,NA
"Anolis singularis",1962,NA
"Anolis vicarius",1981,NA
"Anomaloglossus degranvillei",2009,NA
"Ansonia latidisca",1924,2011
"Ansonia siamensis",1998,NA
"Aplastodiscus musicus",1949,NA
"Aplonis pelzelni",1995,NA
"Apomys sacobianus",1991,2011
"Aproteles bulmerae",1970,1992
"Aquiloeurycea praecellens",1940,NA
