species,synonym,continent,country,island_mainland,last_seen,rediscovery_date,rediscovered_years_lost,lost_years_lost,years_lost,body_mass,forest,savanna,shrubland,grassland,wetlands_inland,desert,artificial_terrestrial,marine_habitats,invasive_species,habitat_loss,overexploitation,pollution,climate_change,HDI,survey_effort_score
Abronia anzuetoi,0,North America,Guatemala,0,1974,NA,NA,47,47,19.7,1,0,0,0,0,0,0,0,0,1,1,0,1,0.663,3
Abronia campbelli,0,North America,Guatemala,0,1993,2010,17,NA,17,18,1,0,0,0,0,0,0,0,0,1,1,0,1,0.663,2
Abronia frosti,0,North America,Guatemala,0,1998,2010,12,NA,12,20,1,0,0,0,0,0,0,0,0,1,1,0,1,0.663,3
Abronia mitchelli,0,North America,Mexico,0,1974,NA,NA,47,47,19.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.779,1
Abronia ochoterenai,0,North America,Mexico,0,1935,NA,NA,86,86,19.7,1,0,0,0,0,0,0,0,0,1,1,0,0,0.779,1
Abronia ornelasi,0,North America,Mexico,0,1985,NA,NA,36,36,19.7,1,0,0,0,0,0,0,0,0,1,1,0,0,0.779,1
Abronia ramirezi,0,North America,Mexico,0,1990,NA,NA,31,31,19.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.779,2
Acanthodactylus spinicauda,0,Africa,Algeria,0,1901,2015,114,NA,114,5.58,0,0,1,0,0,1,0,0,0,0,0,0,0,0.748,1
Acanthosaura bintangensis,0,Asia,Malaysia,0,2008,NA,NA,13,13,36.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0.81,3
Acanthosaura brachypoda,0,Asia,Vietnam,0,2006,NA,NA,15,15,36.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0.704,1
Acerodon humilis,0,Asia,Indonesia,1,1899,1999,100,NA,100,352.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0.72,1
Acrocephalus longirostris,0,Oceania,French Polynesia,1,1981,NA,NA,40,40,20.37,1,0,1,0,0,0,1,0,1,1,1,0,0,0.7,4
Acrocephalus orinus,0,Asia,Afghanistan; Tajikistan,0,1867,2006,139,NA,139,9.5,1,0,1,1,1,0,0,0,0,1,1,0,0,0.668,4
Actenoides bougainvillei,0,Oceania,Papua New Guinea,1,1953,1994,41,NA,41,188,1,0,0,0,0,0,0,0,1,0,0,0,0,0.555,4
Adenomus kandianus,0,Asia,Sri Lanka,0,1872,2009,137,NA,137,3,1,0,0,0,1,0,0,0,1,1,1,1,1,0.782,1
Adercosaurus vixadnexus,0,South America,Venezuela,0,1995,NA,NA,26,26,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.711,1
Aegotheles savesi,0,Oceania,New Caledonia,1,1998,NA,NA,23,23,107.75,1,0,0,0,0,0,0,0,1,1,1,0,0,0.8,4
Aegotheles tatei,0,Asia; Oceania,Indonesia; Papua New Guinea,0,1969,2003,34,NA,34,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0.718,1
Aepypodius bruijnii,0,Asia,Indonesia,1,1938,2002,64,NA,64,1487.75,1,0,0,0,0,0,0,0,1,1,1,0,0,0.718,4
Agama lucyae,0,Africa,Ethiopia,0,1964,NA,NA,57,57,72.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.485,1
Aipysurus apraefrontalis,0,Oceania,Australia,1,2000,2015,15,NA,15,1430.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.944,4
Aipysurus foliosquama,0,Oceania,Australia,1,2001,2015,14,NA,14,1430.3,0,0,0,0,0,0,0,1,0,1,0,0,0,0.944,4
Aipysurus fuscus,0,Oceania,Australia,1,2005,NA,NA,16,16,1430.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0.944,4
Alinea lanceolata,0,North America,Barbados,1,1889,NA,NA,132,132,16.8,1,0,0,0,0,0,0,0,1,1,0,0,0,0.814,4
Allobates caribe,0,South America,Venezuela,0,2000,NA,NA,21,21,0.54,1,0,0,0,1,0,0,0,1,1,1,0,0,0.726,3
