"species","id_no","class","order","family","iucn_lindk","iucn","systems","realm","mollareakm","last_seen","rediscovery_date"
"Abronia anzuetoi",203012,"Reptilia","Squamata","Anguidae","VU","CR","Terrestrial","Neotropical",10.079806,1974,NA
"Abronia mitchelli",63683,"Reptilia","Squamata","Anguidae","DD","DD","Terrestrial","Neotropical",233.42221,1974,NA
"Abronia ochoterenai",63686,"Reptilia","Squamata","Anguidae","DD","DD","Terrestrial","Neotropical",167.470553,1935,NA
"Abronia ornelasi",63687,"Reptilia","Squamata","Anguidae","DD","DD","Terrestrial","Neotropical",355.135849,1985,NA
"Abronia ramirezi",63688,"Reptilia","Squamata","Anguidae","DD","DD","Terrestrial","Neotropical",233.603326,1990,NA
"Acanthosaura bintangensis",99927868,"Reptilia","Squamata","Agamidae","NE","DD","Terrestrial","Indomalayan",10.062675,2008,NA
"Acanthosaura brachypoda",99927952,"Reptilia","Squamata","Agamidae","NE","DD","Terrestrial","Indomalayan",6.890274,2006,NA
"Acrocephalus longirostris",22735588,"Aves","Passeriformes","Acrocephalidae","CR","CR","Terrestrial","Oceanian",135.120185,1981,NA
"Adercosaurus vixadnexus",67633090,"Reptilia","Squamata","Gymnophthalmidae","LC","LC","Terrestrial","Neotropical",17.073079,1995,NA
"Aegotheles savesi",22689559,"Aves","Caprimulgiformes","Aegothelidae","CR","CR","Terrestrial","Oceanian",17180.05896,1998,NA
"Agama lucyae",17450712,"Reptilia","Squamata","Agamidae","NE","DD","Terrestrial","Afrotropical",1628.926087,1964,NA
"Alinea lanceolata",44579133,"Reptilia","Squamata","Scincidae","CR","CR","Terrestrial","Neotropical",21.801203,1889,NA
"Allobates caribe",136097,"Amphibia","Anura","Aromobatidae","CR","CR","Terrestrial","Neotropical",9.311793,2000,NA
"Allobates mcdiarmidi",55113,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",20767.10508,2005,NA
"Allobates ranoides",55141,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.160937,2001,NA
"Alopoglossus eurylepis",203063,"Reptilia","Squamata","Gymnophthalmidae","NT","NT","Terrestrial","Neotropical",17.212264,1984,NA
"Alopoglossus grandisquamatus",203064,"Reptilia","Squamata","Gymnophthalmidae","NE","DD","Terrestrial","Neotropical",17.002429,1981,NA
"Alopoglossus lehmanni",44578120,"Reptilia","Squamata","Gymnophthalmidae","NE","CR","Terrestrial","Neotropical",535.756201,1962,NA
"Altiphrynoides osgoodi",54886,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Afrotropical",56.17133,2003,NA
"Amazilia alfaroana",119194112,"Aves","Caprimulgiformes","Trochilidae","CR","CR","Terrestrial","Neotropical",81.424665,1895,NA
"Amolops kaulbacki",58214,"Amphibia","Anura","Ranidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Indomalayan",9434.551431,1935,NA
"Amolops mengyangensis",48102680,"Amphibia","Anura","Ranidae","LC","DD","Terrestrial|Freshwater (=Inland waters)","Indomalayan",6305.915828,1957,NA
"Amphiglossus mandady",172738,"Reptilia","Squamata","Scincidae","DD","DD","Terrestrial","Afrotropical",13.237391,1999,NA
"Amphiglossus spilostichus",172753,"Reptilia","Squamata","Scincidae","DD","DD","Terrestrial","Afrotropical",586.609328,1996,NA
"Amphiglossus stylus",172754,"Reptilia","Squamata","Scincidae","DD","DD","Terrestrial","Afrotropical",2133.893832,1999,NA
"Amphisbaena absaberi",176235,"Reptilia","Squamata","Amphisbaenidae","DD","DD","Terrestrial","Neotropical",315.90424,1993,NA
"Amphisbaena acrobeles",75156645,"Reptilia","Squamata","Amphisbaenidae","NE","LC","Terrestrial","Neotropical",316.089276,2003,NA
"Amphisbaena arda",75158906,"Reptilia","Squamata","Amphisbaenidae","NE","EN","Terrestrial","Neotropical",5931.064332,2000,NA
"Amphisbaena brevis",75159572,"Reptilia","Squamata","Amphisbaenidae","NE","DD","Terrestrial","Neotropical",315.950453,2001,NA
"Amphisbaena cayemite",74855383,"Reptilia","Squamata","Amphisbaenidae","NE","CR","Terrestrial","Neotropical",51.308718,1971,NA
"Amphisbaena leali",74856459,"Reptilia","Squamata","Amphisbaenidae","CR","CR","Terrestrial","Neotropical",12.224329,1991,NA
"Amphisbaena myersi",66080021,"Reptilia","Squamata","Amphisbaenidae","NE","DD","Terrestrial","Neotropical",17.087592,1963,NA
"Amphisbaena polygrammica",176229,"Reptilia","Squamata","Amphisbaenidae","DD","DD","Terrestrial","Neotropical",5085.257123,1900,NA
"Amphisbaena rozei",67606920,"Reptilia","Squamata","Amphisbaenidae","NE","DD","Terrestrial","Neotropical",17.088727,1953,NA
"Amphisbaena stejnegeri",66080030,"Reptilia","Squamata","Amphisbaenidae","DD","DD","Terrestrial","Neotropical",17.029513,1921,NA
"Amphisbaena tragorrhectes",176234,"Reptilia","Squamata","Amphisbaenidae","DD","LC","Terrestrial","Neotropical",316.228379,1968,NA
"Anadia altaserrania",44578129,"Reptilia","Squamata","Gymnophthalmidae","NE","LC","Terrestrial","Neotropical",666.313529,1939,NA
"Anadia blakei",44578138,"Reptilia","Squamata","Gymnophthalmidae","EN","EN","Terrestrial","Neotropical",50.075172,1992,NA
"Andinobates abditus",55170,"Amphibia","Anura","Dendrobatidae","CR(PE)","CR","Terrestrial","Neotropical",86.994205,1974,NA
"Andinobates viridis",55210,"Amphibia","Anura","Dendrobatidae","CR(PE)","CR","Terrestrial","Neotropical",916.505566,2005,NA
"Andinosaura afrania",44578744,"Reptilia","Squamata","Gymnophthalmidae","DD","DD","Terrestrial","Neotropical",11.705396,1989,NA
"Andinosaura stellae",44578828,"Reptilia","Squamata","Gymnophthalmidae","DD","DD","Terrestrial","Neotropical",17.238114,1986,NA
"Anilios insperatus",102839222,"Reptilia","Squamata","Typhlopidae","CR(PE)","CR","Terrestrial","Australasian",0.00496,1992,NA
"Anodorhynchus glaucus",22685527,"Aves","Psittaciformes","Psittacidae","CR(PE)","CR","Terrestrial","Neotropical",181725.7748,2001,NA
"Anolis altitudinalis",74994419,"Reptilia","Squamata","Dactyloidae","NE","NT","Terrestrial","Neotropical",374.127737,1989,NA
"Anolis carlostoddi",67609237,"Reptilia","Squamata","Dactyloidae","NE","LC","Terrestrial","Neotropical",17.105519,1984,NA
"Anolis incredulus",74995458,"Reptilia","Squamata","Dactyloidae","NE","DD","Terrestrial","Neotropical",128.93848,1963,NA
"Anolis juangundlachi",178278,"Reptilia","Squamata","Dactyloidae","CR","CR","Terrestrial","Neotropical",129.103079,2008,NA
"Anolis laevis",48279785,"Reptilia","Squamata","Dactyloidae","DD","DD","Terrestrial","Neotropical",310.983732,1850,NA
"Anolis lamari",44577441,"Reptilia","Squamata","Dactyloidae","NE","DD","Terrestrial","Neotropical",462.592679,1980,NA
"Anolis oporinus",75084756,"Reptilia","Squamata","Dactyloidae","NE","DD","Terrestrial","Neotropical",131.522084,1990,NA
"Anolis paravertebralis",44577638,"Reptilia","Squamata","Dactyloidae","NE","DD","Terrestrial","Neotropical",11.223463,1920,NA
"Anolis roosevelti",1319,"Reptilia","Squamata","Dactyloidae","CR(PE)","CR","Terrestrial","Neotropical",278.01234,1932,NA
"Anolis singularis",75086730,"Reptilia","Squamata","Dactyloidae","NE","CR","Terrestrial","Neotropical",14.768062,1962,NA
"Anolis vicarius",44577859,"Reptilia","Squamata","Dactyloidae","DD","DD","Terrestrial","Neotropical",16.991716,1981,NA
"Anomaloglossus degranvillei",125200843,"Amphibia","Anura","Aromobatidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",9.941044,2009,NA
"Ansonia siamensis",54482,"Amphibia","Anura","Bufonidae","VU","EN","Terrestrial|Freshwater (=Inland waters)","Indomalayan",1954.129259,1998,NA
"Aplastodiscus musicus",55572,"Amphibia","Anura","Hylidae","DD","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",147.581293,1949,NA
"Aplonis pelzelni",22710490,"Aves","Passeriformes","Sturnidae","CR","CR","Terrestrial","Oceanian",61.88788,1995,NA
"Aquiloeurycea praecellens",59391,"Amphibia","Caudata","Plethodontidae","CR(PE)","CR","Terrestrial","Neotropical",10.693945,1940,NA
"Aromobates alboguttatus",55253,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",153.193272,1995,NA
"Aromobates haydeeae",55255,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.600804,1995,NA
"Aromobates leopardalis",55104,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",41.928009,1995,NA
"Aromobates molinarii",55258,"Amphibia","Anura","Aromobatidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",6.87536,2007,NA
"Aromobates nocturnus",55040,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",20.898127,1991,NA
"Aromobates serranus",55260,"Amphibia","Anura","Aromobatidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",77.770389,1985,NA
"Arthroleptides dutoiti",2119,"Amphibia","Anura","Petropedetidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Afrotropical",840.616688,1962,NA
"Arthroleptis kutogundua",16770720,"Amphibia","Anura","Arthroleptidae","CR(PE)","CR","Terrestrial","Afrotropical",7.056598,1930,NA
"Arthrosaura testigensis",44578343,"Reptilia","Squamata","Gymnophthalmidae","LC","LC","Terrestrial","Neotropical",9.600063,1988,NA
"Asymblepharus mahabharatus",114619032,"Reptilia","Squamata","Scincidae","NE","DD","Terrestrial","Indomalayan",3.118332,1998,NA
"Asymblepharus nepalensis",114619044,"Reptilia","Squamata","Scincidae","NE","DD","Terrestrial","Indomalayan",1.279341,1991,NA
"Atelopus angelito",54488,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",101.174117,2000,NA
"Atelopus ardila",18435521,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",173.264079,1989,NA
"Atelopus arthuri",54490,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",130.40054,1988,NA
"Atelopus boulengeri",54493,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",4944.469168,1984,NA
"Atelopus carauta",54494,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",115.809545,1987,NA
"Atelopus carbonerensis",54495,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",143.794367,1998,NA
"Atelopus chirripoensis",186064,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",3.9594,1980,NA
"Atelopus chocoensis",54499,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",234.64962,1998,NA
"Atelopus dimorphus",54503,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",65.19001,1980,NA
"Atelopus ebenoides",81646342,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",813.329715,2005,NA
"Atelopus erythropus",54506,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",12269.44304,2004,NA
"Atelopus eusebianus",54507,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",830.396943,2004,NA
"Atelopus eusebiodiazi",158466,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",9.72105,1997,NA
"Atelopus famelicus",54509,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",20.301126,2005,NA
"Atelopus farci",54510,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",1.626974,2003,NA
"Atelopus galactogaster",54513,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",64.543896,1995,NA
"Atelopus gigas",18435526,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",5.63127,1970,NA
"Atelopus guanujo",54515,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",144.504972,1988,NA
"Atelopus guitarraensis",54516,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",65.902552,1990,NA
"Atelopus halihelos",54517,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",59.246264,1984,NA
"Atelopus longibrachius",54521,"Amphibia","Anura","Bufonidae","EN","EN","Terrestrial|Freshwater (=Inland waters)","Neotropical",5.079529,1990,NA
"Atelopus lynchi",54524,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",11.195859,1984,NA
"Atelopus mandingues",54525,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",85.9846,1992,NA
"Atelopus minutulus",54527,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.156009,1985,NA
"Atelopus monohernandezii",54528,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",51.379503,1982,NA
"Atelopus mucubajiensis",54529,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.768147,2004,NA
"Atelopus muisca",54530,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",87.94572,2008,NA
"Atelopus nicefori",54534,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",90.986992,1988,NA
"Atelopus onorei",136173,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",11.225071,1990,NA
"Atelopus orcesi",18435530,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",4.258279,1998,NA
"Atelopus oxyrhynchus",54535,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",348.310748,1994,NA
"Atelopus pachydermus",54536,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",4265.088114,1995,NA
"Atelopus palmatus",54537,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",138.486423,2008,NA
"Atelopus pastuso",18435537,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",3691.213158,1993,NA
"Atelopus pedimarmoratus",54538,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.165229,1963,NA
"Atelopus peruensis",54539,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",22909.60385,1998,NA
"Atelopus petersi",136038,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",576.760369,1996,NA
"Atelopus petriruizi",54540,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",185.629082,1998,NA
"Atelopus pictiventris",54541,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",11.534344,1996,NA
"Atelopus pinangoi",54542,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",35.556796,1997,NA
"Atelopus planispina",54543,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",274.117526,1985,NA
"Atelopus podocarpus",18435550,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",1743.876514,1994,NA
"Atelopus pyrodactylus",135890,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.597778,2006,NA
"Atelopus quimbaya",54545,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",20.3409,1997,NA
"Atelopus reticulatus",54546,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",11.085706,1992,NA
"Atelopus sanjosei",54547,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",21.190035,1993,NA
"Atelopus sernai",54550,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",320.669669,2001,NA
"Atelopus simulatus",54551,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",581.193942,2003,NA
"Atelopus siranus",54552,"Amphibia","Anura","Bufonidae","DD","DD","Terrestrial|Freshwater (=Inland waters)","Neotropical",10.30059,1988,NA
"Atelopus sonsonensis",54553,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",361.592517,1996,NA
"Atelopus sorianoi",54554,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",5.927829,1990,NA
"Atelopus subornatus",54557,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",621.168236,1993,NA
"Atelopus tamaense",54558,"Amphibia","Anura","Bufonidae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",56.292951,1987,NA
"Atelopus zeteki",54563,"Amphibia","Anura","Bufonidae","CR(PE)","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",584.457051,2009,NA
"Atlapetes terborghi",22728571,"Aves","Passeriformes","Passerellidae","NT","NT","Terrestrial","Neotropical",3008.836506,1968,NA
"Atopophrynus syntomopus",56326,"Amphibia","Anura","Craugastoridae","CR","CR","Terrestrial|Freshwater (=Inland waters)","Neotropical",5.796834,1980,NA
"Bachia micromela",48280025,"Reptilia","Squamata","Gymnophthalmidae","NE","DD","Terrestrial","Neotropical",316.132544,2001,NA
