id_no,species,mean_gHM,median_gHM,source
42641,Abditomys latidens,0.376900362,0.32565394,dd_spp
47756038,Ablepharus darvazi,0.238711021,0.221113816,dd_spp
47761700,Abrawayaomys chebezi,0.314131025,0.262846917,dd_spp
136334,Abrocoma budini,0.226954938,0.126713634,dd_spp
136367,Abrocoma famatina,0.066709543,0.049962217,dd_spp
136302,Abrocoma uspallata,0.1488221,0.14825666,dd_spp
136546,Abrocoma vaccarum,0.151118682,0.146991007,dd_spp
63712,Abronia antauges,0.326885218,0.243749976,dd_spp
203012,Abronia anzuetoi,0.363630048,0.366161227,lost_spp
63674,Abronia bogerti,0.091920929,0.049077159,dd_spp
63679,Abronia leurolepis,0.226122073,0.215675779,dd_spp
63683,Abronia mitchelli,0.111090509,0.115929339,lost_spp
63683,Abronia mitchelli,0.111090509,0.115929339,dd_spp
63686,Abronia ochoterenai,0.214123751,0.215453766,lost_spp
63686,Abronia ochoterenai,0.214123751,0.215453766,dd_spp
63687,Abronia ornelasi,0.122894636,0.092131119,lost_spp
63687,Abronia ornelasi,0.122894636,0.092131119,dd_spp
63688,Abronia ramirezi,0.467615351,0.535137147,lost_spp
63688,Abronia ramirezi,0.467615351,0.535137147,dd_spp
63689,Abronia reidi,0.545556188,0.664436162,dd_spp
13151858,Acanthodactylus boueti,0.549034232,0.643961549,dd_spp
199609,Acanthodactylus gongrorhynchatus,0.209448709,0.076159641,dd_spp
29483,Acanthodactylus nilsoni,0.383214229,0.381482273,dd_spp
197432,Acanthodactylus taghitensis,0.029657619,0.013910424,dd_spp
99927868,Acanthosaura bintangensis,0.22950643,0.224455483,lost_spp
99927868,Acanthosaura bintangensis,0.22950643,0.224455483,dd_spp
99927952,Acanthosaura brachypoda,0.599416758,0.599887609,lost_spp
99927952,Acanthosaura brachypoda,0.599416758,0.599887609,dd_spp
211837282,Achalinus yangdatongi,0.372484007,0.332628518,dd_spp
264,Acomys cilicicus,0.548551585,0.551242828,dd_spp
269,Acomys minous,0.37888999,0.370518178,dd_spp
271,Acomys nesiotes,0.537955789,0.569681466,dd_spp
136331,Aconaemys porteri,0.165698826,0.155815423,dd_spp
279,Aconaemys sagei,0.339616522,0.260548025,dd_spp
128870755,Acontias albigularis,0.16469597,0.1582179,dd_spp
128870867,Acontias wakkerstroomensis,0.246346272,0.200133935,dd_spp
134878739,Acratosaura spinosa,0.08194638,0.083545834,dd_spp
22735588,Acrocephalus longirostris,0.355311438,0.327702641,lost_spp
169799,Acutotyphlops banaorum,0.185063312,0.155130323,dd_spp
196651,Acutotyphlops infralabialis,0.136449342,0.12683332,dd_spp
196652,Acutotyphlops kunuaensis,0.171574779,0.148813754,dd_spp
196653,Acutotyphlops solomonis,0.175784584,0.14049603,dd_spp
63728,Adelophis foxi,0.129180203,0.119061653,dd_spp
158609,Adelophryne patamona,0.019314331,0.012088871,dd_spp
63729,Adelphicos latifasciatum,0.177547484,0.089455165,dd_spp
195582879,Adenomera gridipappi,0.076504703,0.057832088,dd_spp
195583073,Adenomera inopinata,0.06890883,0.057271682,dd_spp
67633090,Adercosaurus vixadnexus,0.037308775,0.037308775,lost_spp
203043,Advenus montisilvestris,0.058806159,0.035115536,dd_spp
22689559,Aegotheles savesi,0.102822116,0.072154026,lost_spp
176326,Aeluroglena cucullata,0.217550303,0.206415638,dd_spp
22686555,Aerodramus orientalis,0.154557182,0.132689692,dd_spp
22686552,Aerodramus papuensis,0.181054589,0.119774073,dd_spp
22686549,Aerodramus whiteheadi,0.218877563,0.191481695,dd_spp
