internalTaxonId,redlistCategory,systems,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild
272127456,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
272126582,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271004723,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
271004455,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
271004387,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271003649,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271003501,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271001943,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271001733,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271001483,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
271001261,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
271000474,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
271000321,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
271000210,Endangered,Terrestrial,Australasian,,FALSE,FALSE
271000143,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
270999397,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
270999039,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
270998974,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
270997532,Endangered,Terrestrial,Australasian,,FALSE,FALSE
268982813,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
268512507,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
268512431,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
261173977,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
261173930,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
261173836,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
261173749,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
253587364,Endangered,Terrestrial,Indomalayan,,FALSE,FALSE
253585790,Endangered,Terrestrial,Indomalayan,,FALSE,FALSE
253582757,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
253498283,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
253488653,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
252763981,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
252763816,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
252266143,Data Deficient,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
248637991,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
248107314,Critically Endangered,Terrestrial,Palearctic,,FALSE,FALSE
247788158,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
247637646,Endangered,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
247636199,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
247635985,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
247600869,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
247600837,Data Deficient,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
246786099,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
246785910,Critically Endangered,Terrestrial,Afrotropical,1988,TRUE,FALSE
246336689,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
244681681,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
244519627,Vulnerable,Terrestrial,Neotropical,,FALSE,FALSE
243561918,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
243561476,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
237137603,Endangered,Terrestrial,Neotropical,,FALSE,FALSE
237133936,Endangered,Terrestrial,Neotropical,,FALSE,FALSE
236638832,Least Concern,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
236638080,Data Deficient,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
235624680,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
233600683,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
233600165,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
232777577,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232777230,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232775895,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232775771,Endangered,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
