internalTaxonId,scientificName,orderName,className,familyName
42641,Abditomys latidens,RODENTIA,MAMMALIA,MURIDAE
22687170,Abeillia abeillei,CAPRIMULGIFORMES,AVES,TROCHILIDAE
17879,Abeomelomys sevia,RODENTIA,MAMMALIA,MURIDAE
48839409,Ablepharus bivittatus,SQUAMATA,REPTILIA,SCINCIDAE
61450,Ablepharus budaki,SQUAMATA,REPTILIA,SCINCIDAE
164622,Ablepharus chernovi,SQUAMATA,REPTILIA,SCINCIDAE
47756038,Ablepharus darvazi,SQUAMATA,REPTILIA,SCINCIDAE
178546,Ablepharus deserti,SQUAMATA,REPTILIA,SCINCIDAE
47756048,Ablepharus grayanus,SQUAMATA,REPTILIA,SCINCIDAE
29691,Ablepharus kitaibelii,SQUAMATA,REPTILIA,SCINCIDAE
48839132,Ablepharus lindbergi,SQUAMATA,REPTILIA,SCINCIDAE
164747,Ablepharus pannonicus,SQUAMATA,REPTILIA,SCINCIDAE
61451,Ablepharus rueppellii,SQUAMATA,REPTILIA,SCINCIDAE
47761700,Abrawayaomys chebezi,RODENTIA,MAMMALIA,CRICETIDAE
47760825,Abrawayaomys ruschii,RODENTIA,MAMMALIA,CRICETIDAE
42656,Abrocoma bennettii,RODENTIA,MAMMALIA,ABROCOMIDAE
18,Abrocoma boliviensis,RODENTIA,MAMMALIA,ABROCOMIDAE
136334,Abrocoma budini,RODENTIA,MAMMALIA,ABROCOMIDAE
42657,Abrocoma cinerea,RODENTIA,MAMMALIA,ABROCOMIDAE
136367,Abrocoma famatina,RODENTIA,MAMMALIA,ABROCOMIDAE
136525,Abrocoma shistacea,RODENTIA,MAMMALIA,ABROCOMIDAE
136302,Abrocoma uspallata,RODENTIA,MAMMALIA,ABROCOMIDAE
136546,Abrocoma vaccarum,RODENTIA,MAMMALIA,ABROCOMIDAE
63712,Abronia antauges,SQUAMATA,REPTILIA,ANGUIDAE
203012,Abronia anzuetoi,SQUAMATA,REPTILIA,ANGUIDAE
203013,Abronia aurita,SQUAMATA,REPTILIA,ANGUIDAE
63674,Abronia bogerti,SQUAMATA,REPTILIA,ANGUIDAE
203014,Abronia campbelli,SQUAMATA,REPTILIA,ANGUIDAE
63675,Abronia chiszari,SQUAMATA,REPTILIA,ANGUIDAE
63676,Abronia deppii,SQUAMATA,REPTILIA,ANGUIDAE
203015,Abronia fimbriata,SQUAMATA,REPTILIA,ANGUIDAE
29479,Abronia frosti,SQUAMATA,REPTILIA,ANGUIDAE
63677,Abronia fuscolabialis,SQUAMATA,REPTILIA,ANGUIDAE
63713,Abronia gadovii,SQUAMATA,REPTILIA,ANGUIDAE
203016,Abronia gaiophantasma,SQUAMATA,REPTILIA,ANGUIDAE
63678,Abronia graminea,SQUAMATA,REPTILIA,ANGUIDAE
63714,Abronia juarezi,SQUAMATA,REPTILIA,ANGUIDAE
63679,Abronia leurolepis,SQUAMATA,REPTILIA,ANGUIDAE
63680,Abronia lythrochila,SQUAMATA,REPTILIA,ANGUIDAE
63681,Abronia martindelcampoi,SQUAMATA,REPTILIA,ANGUIDAE
63682,Abronia matudai,SQUAMATA,REPTILIA,ANGUIDAE
203017,Abronia meledona,SQUAMATA,REPTILIA,ANGUIDAE
63683,Abronia mitchelli,SQUAMATA,REPTILIA,ANGUIDAE
63684,Abronia mixteca,SQUAMATA,REPTILIA,ANGUIDAE
20,Abronia montecristoi,SQUAMATA,REPTILIA,ANGUIDAE
176253,Abronia monticola,SQUAMATA,REPTILIA,ANGUIDAE
176254,Abronia moreletii,SQUAMATA,REPTILIA,ANGUIDAE
63685,Abronia oaxacae,SQUAMATA,REPTILIA,ANGUIDAE
63686,Abronia ochoterenai,SQUAMATA,REPTILIA,ANGUIDAE
63687,Abronia ornelasi,SQUAMATA,REPTILIA,ANGUIDAE
63688,Abronia ramirezi,SQUAMATA,REPTILIA,ANGUIDAE
63689,Abronia reidi,SQUAMATA,REPTILIA,ANGUIDAE
203018,Abronia salvadorensis,SQUAMATA,REPTILIA,ANGUIDAE
63690,Abronia smithi,SQUAMATA,REPTILIA,ANGUIDAE
63691,Abronia taeniata,SQUAMATA,REPTILIA,ANGUIDAE
203019,Abronia vasconcelosii,SQUAMATA,REPTILIA,ANGUIDAE
63715,Abronia viridiflava,SQUAMATA,REPTILIA,ANGUIDAE
22715451,Abroscopus albogularis,PASSERIFORMES,AVES,SCOTOCERCIDAE
22715454,Abroscopus schisticeps,PASSERIFORMES,AVES,SCOTOCERCIDAE
22731005,Abroscopus superciliaris,PASSERIFORMES,AVES,SCOTOCERCIDAE
4803,Abrothrix andinus,RODENTIA,MAMMALIA,CRICETIDAE
735,Abrothrix illutea,RODENTIA,MAMMALIA,CRICETIDAE
4804,Abrothrix jelskii,RODENTIA,MAMMALIA,CRICETIDAE
740,Abrothrix lanosus,RODENTIA,MAMMALIA,CRICETIDAE
743,Abrothrix longipilis,RODENTIA,MAMMALIA,CRICETIDAE
114955961,Abrothrix manni,RODENTIA,MAMMALIA,CRICETIDAE
751,Abrothrix olivaceus,RODENTIA,MAMMALIA,CRICETIDAE
754,Abrothrix sanborni,RODENTIA,MAMMALIA,CRICETIDAE
22678440,Aburria aburri,GALLIFORMES,AVES,CRACIDAE
22704451,Acanthagenys rufogularis,PASSERIFORMES,AVES,MELIPHAGIDAE
22723128,Acanthidops bairdi,PASSERIFORMES,AVES,THRAUPIDAE
22725044,Acanthis flammea,PASSERIFORMES,AVES,FRINGILLIDAE
22698577,Acanthisitta chloris,PASSERIFORMES,AVES,ACANTHISITTIDAE
56054,Acanthixalus sonjae,ANURA,AMPHIBIA,HYPEROLIIDAE
56055,Acanthixalus spinosus,ANURA,AMPHIBIA,HYPEROLIIDAE
22731025,Acanthiza apicalis,PASSERIFORMES,AVES,ACANTHIZIDAE
22704647,Acanthiza chrysorrhoa,PASSERIFORMES,AVES,ACANTHIZIDAE
22704665,Acanthiza cinerea,PASSERIFORMES,AVES,ACANTHIZIDAE
22704635,Acanthiza ewingii,PASSERIFORMES,AVES,ACANTHIZIDAE
22704641,Acanthiza inornata,PASSERIFORMES,AVES,ACANTHIZIDAE
22704644,Acanthiza iredalei,PASSERIFORMES,AVES,ACANTHIZIDAE
22704627,Acanthiza katherina,PASSERIFORMES,AVES,ACANTHIZIDAE
22704656,Acanthiza lineata,PASSERIFORMES,AVES,ACANTHIZIDAE
22704624,Acanthiza murina,PASSERIFORMES,AVES,ACANTHIZIDAE
22704653,Acanthiza nana,PASSERIFORMES,AVES,ACANTHIZIDAE
22704630,Acanthiza pusilla,PASSERIFORMES,AVES,ACANTHIZIDAE
22704638,Acanthiza reguloides,PASSERIFORMES,AVES,ACANTHIZIDAE
22704659,Acanthiza robustirostris,PASSERIFORMES,AVES,ACANTHIZIDAE
22704650,Acanthiza uropygialis,PASSERIFORMES,AVES,ACANTHIZIDAE
199598,Acanthocercus adramitanus,SQUAMATA,REPTILIA,AGAMIDAE
170363,Acanthocercus annectans,SQUAMATA,REPTILIA,AGAMIDAE
110132395,Acanthocercus atricollis,SQUAMATA,REPTILIA,AGAMIDAE
20877922,Acanthocercus branchi,SQUAMATA,REPTILIA,AGAMIDAE
136544007,Acanthocercus cyanocephalus,SQUAMATA,REPTILIA,AGAMIDAE
170365,Acanthocercus cyanogaster,SQUAMATA,REPTILIA,AGAMIDAE
136544462,Acanthocercus gregorii,SQUAMATA,REPTILIA,AGAMIDAE
20877932,Acanthocercus guentherpetersi,SQUAMATA,REPTILIA,AGAMIDAE
136544794,Acanthocercus kiwuensis,SQUAMATA,REPTILIA,AGAMIDAE
136545273,Acanthocercus minutus,SQUAMATA,REPTILIA,AGAMIDAE
20877943,Acanthocercus phillipsii,SQUAMATA,REPTILIA,AGAMIDAE
136545426,Acanthocercus ugandaensis,SQUAMATA,REPTILIA,AGAMIDAE
199599,Acanthocercus yemensis,SQUAMATA,REPTILIA,AGAMIDAE
97259978,Acanthochelys macrocephala,TESTUDINES,REPTILIA,CHELIDAE
75,Acanthochelys pallidipectoris,TESTUDINES,REPTILIA,CHELIDAE
78,Acanthochelys radiolata,TESTUDINES,REPTILIA,CHELIDAE
76,Acanthochelys spixii,TESTUDINES,REPTILIA,CHELIDAE
61452,Acanthodactylus ahmaddisii,SQUAMATA,REPTILIA,LACERTIDAE
177908,Acanthodactylus arabicus,SQUAMATA,REPTILIA,LACERTIDAE
197434,Acanthodactylus aureus,SQUAMATA,REPTILIA,LACERTIDAE
61453,Acanthodactylus bedriagai,SQUAMATA,REPTILIA,LACERTIDAE
61454,Acanthodactylus beershebensis,SQUAMATA,REPTILIA,LACERTIDAE
61455,Acanthodactylus blanci,SQUAMATA,REPTILIA,LACERTIDAE
164596,Acanthodactylus blanfordii,SQUAMATA,REPTILIA,LACERTIDAE
164610,Acanthodactylus boskianus,SQUAMATA,REPTILIA,LACERTIDAE
13151858,Acanthodactylus boueti,SQUAMATA,REPTILIA,LACERTIDAE
178569,Acanthodactylus busacki,SQUAMATA,REPTILIA,LACERTIDAE
21220771,Acanthodactylus cantoris,SQUAMATA,REPTILIA,LACERTIDAE
197433,Acanthodactylus dumerilii,SQUAMATA,REPTILIA,LACERTIDAE
61456,Acanthodactylus erythrurus,SQUAMATA,REPTILIA,LACERTIDAE
199610,Acanthodactylus felicis,SQUAMATA,REPTILIA,LACERTIDAE
199609,Acanthodactylus gongrorhynchatus,SQUAMATA,REPTILIA,LACERTIDAE
164590,Acanthodactylus grandis,SQUAMATA,REPTILIA,LACERTIDAE
13151869,Acanthodactylus guineensis,SQUAMATA,REPTILIA,LACERTIDAE
178437,Acanthodactylus haasi,SQUAMATA,REPTILIA,LACERTIDAE
164562,Acanthodactylus harranensis,SQUAMATA,REPTILIA,LACERTIDAE
197435,Acanthodactylus longipes,SQUAMATA,REPTILIA,LACERTIDAE
61458,Acanthodactylus maculatus,SQUAMATA,REPTILIA,LACERTIDAE
199608,Acanthodactylus masirae,SQUAMATA,REPTILIA,LACERTIDAE
61459,Acanthodactylus mechriguensis,SQUAMATA,REPTILIA,LACERTIDAE
164646,Acanthodactylus micropholis,SQUAMATA,REPTILIA,LACERTIDAE
29483,Acanthodactylus nilsoni,SQUAMATA,REPTILIA,LACERTIDAE
164656,Acanthodactylus opheodurus,SQUAMATA,REPTILIA,LACERTIDAE
164723,Acanthodactylus orientalis,SQUAMATA,REPTILIA,LACERTIDAE
61460,Acanthodactylus pardalis,SQUAMATA,REPTILIA,LACERTIDAE
164724,Acanthodactylus robustus,SQUAMATA,REPTILIA,LACERTIDAE
61461,Acanthodactylus savignyi,SQUAMATA,REPTILIA,LACERTIDAE
164695,Acanthodactylus schmidti,SQUAMATA,REPTILIA,LACERTIDAE
222350753,Acanthodactylus schreiberi,SQUAMATA,REPTILIA,LACERTIDAE
164678,Acanthodactylus scutellatus,SQUAMATA,REPTILIA,LACERTIDAE
13151884,Acanthodactylus senegalensis,SQUAMATA,REPTILIA,LACERTIDAE
61463,Acanthodactylus spinicauda,SQUAMATA,REPTILIA,LACERTIDAE
197432,Acanthodactylus taghitensis,SQUAMATA,REPTILIA,LACERTIDAE
199607,Acanthodactylus tilburyi,SQUAMATA,REPTILIA,LACERTIDAE
164627,Acanthodactylus tristrami,SQUAMATA,REPTILIA,LACERTIDAE
