group weight wgrp filename
4 0.551 4 ../dd_rasters/Mammalia_Acomys_cilicicus.tif
4 0.371 4 ../dd_rasters/Mammalia_Acomys_minous.tif
4 0.57 4 ../dd_rasters/Mammalia_Acomys_nesiotes.tif
4 0.261 4 ../dd_rasters/Mammalia_Aconaemys_sagei.tif
4 0.202 4 ../dd_rasters/Mammalia_Aeromys_tephromelas.tif
4 0.241 4 ../dd_rasters/Mammalia_Aethomys_silindensis.tif
4 0.693 4 ../dd_rasters/Mammalia_Aethomys_stannarius.tif
4 0.206 4 ../dd_rasters/Mammalia_Akodon_lindberghi.tif
4 0.154 4 ../dd_rasters/Mammalia_Akodon_sanctipaulensis.tif
4 0.171 4 ../dd_rasters/Mammalia_Akodon_varius.tif
4 0.131 4 ../dd_rasters/Mammalia_Allactaga_tetradactyla.tif
4 0.271 4 ../dd_rasters/Mammalia_Allactaga_firouzi.tif
4 0.086 4 ../dd_rasters/Mammalia_Alticola_albicaudus.tif
2 0.18 2 ../dd_rasters/Reptilia_Pholidoscelis_major.tif
4 0.153 4 ../dd_rasters/Mammalia_Ammodillus_imbellis.tif
4 0.236 4 ../dd_rasters/Mammalia_Anonymomys_mindorensis.tif
4 0.312 4 ../dd_rasters/Mammalia_Apomys_littoralis.tif
4 0.425 4 ../dd_rasters/Mammalia_Artibeus_inopinatus.tif
1 0.08 1 ../dd_rasters/Amphibia_Atelognathus_solitarius.tif
4 0.26 4 ../dd_rasters/Mammalia_Batomys_dentatus.tif
4 0.345 4 ../dd_rasters/Mammalia_Belomys_pearsonii.tif
4 0.233 4 ../dd_rasters/Mammalia_Necromys_punctulatus.tif
4 0.239 4 ../dd_rasters/Mammalia_Callosciurus_albescens.tif
4 0.775 4 ../dd_rasters/Mammalia_Calomyscus_tsolovi.tif
4 0.063 4 ../dd_rasters/Mammalia_Cardiocranius_paradoxus.tif
4 0.263 4 ../dd_rasters/Mammalia_Carpomys_melanurus.tif
4 0.163 4 ../dd_rasters/Mammalia_Carterodon_sulcidens.tif
4 0.085 4 ../dd_rasters/Mammalia_Mops_gallagheri.tif
4 0.139 4 ../dd_rasters/Mammalia_Mops_russatus.tif
4 0.291 4 ../dd_rasters/Mammalia_Chibchanomys_trichotis.tif
4 0.239 4 ../dd_rasters/Mammalia_Chimarrogale_sumatrana.tif
4 0.213 4 ../dd_rasters/Mammalia_Chiropodomys_calamianensis.tif
4 0.086 4 ../dd_rasters/Mammalia_Chiropodomys_muroides.tif
4 0.124 4 ../dd_rasters/Mammalia_Chiropodomys_pusillus.tif
4 0.099 4 ../dd_rasters/Mammalia_Calyptophractus_retusus.tif
4 0.129 4 ../dd_rasters/Mammalia_Chlamyphorus_truncatus.tif
4 0.724 4 ../dd_rasters/Mammalia_Calcochloris_tytonis.tif
4 0.032 4 ../dd_rasters/Mammalia_Chrysochloris_visagiei.tif
4 0.154 4 ../dd_rasters/Mammalia_Brassomys_albidens.tif
4 0.073 4 ../dd_rasters/Mammalia_Coendou_nycthemera.tif
4 0.597 4 ../dd_rasters/Mammalia_Congosorex_polli.tif
4 0.254 4 ../dd_rasters/Mammalia_Crateromys_paulus.tif
4 0.691 4 ../dd_rasters/Mammalia_Crocidura_longipes.tif
4 0.133 4 ../dd_rasters/Mammalia_Crocidura_polia.tif
4 0.228 4 ../dd_rasters/Mammalia_Crocidura_raineyi.tif
4 0.504 4 ../dd_rasters/Mammalia_Crocidura_selina.tif
4 0.269 4 ../dd_rasters/Mammalia_Crocidura_armenica.tif
4 0.431 4 ../dd_rasters/Mammalia_Crocidura_dhofarensis.tif
