condition	group	weight	wgrp	filename
1	1	2	1	../Especies/anf_spp_222.tif
1	1	2	1	../Especies/anf_spp_246.tif
1	1	2	1	../Especies/anf_spp_268.tif
1	1	1	1	../Especies/anf_spp_277.tif
1	1	2	1	../Especies/anf_spp_306.tif
1	1	2	1	../Especies/anf_spp_324.tif
1	1	1	1	../Especies/anf_spp_362.tif
1	1	1	1	../Especies/anf_spp_382.tif
1	2	2	2	../Especies/mammals_spp_009.tif
1	2	1	2	../Especies/mammals_spp_025.tif
1	2	1	2	../Especies/mammals_spp_050.tif
1	2	1	2	../Especies/mammals_spp_056.tif
1	2	2	2	../Especies/mammals_spp_065.tif
1	2	2	2	../Especies/mammals_spp_068.tif
1	2	1	2	../Especies/mammals_spp_070.tif
1	2	1	2	../Especies/mammals_spp_121.tif
1	2	1	2	../Especies/mammals_spp_148.tif
1	2	2	2	../Especies/mammals_spp_163.tif
1	2	2	2	../Especies/mammals_spp_207.tif
1	2	2	2	../Especies/mammals_spp_226.tif
1	2	1	2	../Especies/mammals_spp_266.tif
1	2	2	2	../Especies/mammals_spp_275.tif
1	2	1	2	../Especies/mammals_spp_296.tif
1	2	2	2	../Especies/mammals_spp_314.tif
1	2	2	2	../Especies/mammals_spp_325.tif
1	2	2	2	../Especies/mammals_spp_333.tif
1	2	2	2	../Especies/mammals_spp_334.tif
1	2	1	2	../Especies/mammals_spp_337.tif
1	2	2	2	../Especies/mammals_spp_405.tif
1	2	2	2	../Especies/mammals_spp_406.tif
1	2	2	2	../Especies/mammals_spp_409.tif
1	2	2	2	../Especies/mammals_spp_428.tif
1	2	2	2	../Especies/mammals_spp_435.tif
1	2	2	2	../Especies/mammals_spp_438.tif
1	2	2	2	../Especies/mammals_spp_447.tif
1	2	1	2	../Especies/mammals_spp_457.tif
1	2	2	2	../Especies/mammals_spp_461.tif
1	2	2	2	../Especies/mammals_spp_463.tif
1	2	2	2	../Especies/mammals_spp_473.tif
1	3	2	3	../Especies/rep_spp_079.tif
1	3	1	3	../Especies/rep_spp_124.tif
1	3	1	3	../Especies/rep_spp_198.tif
1	3	1	3	../Especies/rep_spp_203.tif
1	3	2	3	../Especies/rep_spp_306.tif
1	3	2	3	../Especies/rep_spp_309.tif
1	3	1	3	../Especies/rep_spp_310.tif
1	3	1	3	../Especies/rep_spp_314.tif
1	3	2	3	../Especies/rep_spp_316.tif
1	3	2	3	../Especies/rep_spp_334.tif
1	3	2	3	../Especies/rep_spp_339.tif
1	3	2	3	../Especies/rep_spp_360.tif
1	3	2	3	../Especies/rep_spp_372.tif
1	3	2	3	../Especies/rep_spp_375.tif
1	3	2	3	../Especies/rep_spp_376.tif
1	3	2	3	../Especies/rep_spp_400.tif
1	3	1	3	../Especies/rep_spp_401.tif
1	3	2	3	../Especies/rep_spp_415.tif
1	3	1	3	../Especies/rep_spp_428.tif
1	3	2	3	../Especies/rep_spp_435.tif
1	3	2	3	../Especies/rep_spp_438.tif
1	3	2	3	../Especies/rep_spp_446.tif
1	3	2	3	../Especies/rep_spp_468.tif
1	3	2	3	../Especies/rep_spp_477.tif
1	3	2	3	../Especies/rep_spp_480.tif
1	3	2	3	../Especies/rep_spp_482.tif
1	3	2	3	../Especies/rep_spp_520.tif
1	3	2	3	../Especies/rep_spp_539.tif
1	3	2	3	../Especies/rep_spp_542.tif
1	3	1	3	../Especies/rep_spp_551.tif
1	3	2	3	../Especies/rep_spp_557.tif
1	3	1	3	../Especies/rep_spp_577.tif
1	3	2	3	../Especies/rep_spp_590.tif
1	3	2	3	../Especies/rep_spp_592.tif
1	3	2	3	../Especies/rep_spp_594.tif
1	3	2	3	../Especies/rep_spp_601.tif
1	3	2	3	../Especies/rep_spp_605.tif
1	3	1	3	../Especies/rep_spp_628.tif
1	3	2	3	../Especies/rep_spp_638.tif
1	3	1	3	../Especies/rep_spp_668.tif
1	3	2	3	../Especies/rep_spp_670.tif
1	3	2	3	../Especies/rep_spp_671.tif
1	3	2	3	../Especies/rep_spp_673.tif
1	3	2	3	../Especies/rep_spp_677.tif
1	3	2	3	../Especies/rep_spp_679.tif
1	3	2	3	../Especies/rep_spp_680.tif
1	3	2	3	../Especies/rep_spp_681.tif
1	3	1	3	../Especies/rep_spp_695.tif
1	3	2	3	../Especies/rep_spp_710.tif
1	3	1	3	../Especies/rep_spp_716.tif
1	4	1	4	../Especies/spp_0421.tif
