condition group weight wgrp filename
1 4 0.551 4 ../dd_rasters/Mammalia_Acomys cilicicus.tif
1 4 0.371 4 ../dd_rasters/Mammalia_Acomys minous.tif
1 4 0.57 4 ../dd_rasters/Mammalia_Acomys nesiotes.tif
1 4 0.261 4 ../dd_rasters/Mammalia_Aconaemys sagei.tif
1 4 0.202 4 ../dd_rasters/Mammalia_Aeromys tephromelas.tif
1 4 0.241 4 ../dd_rasters/Mammalia_Aethomys silindensis.tif
1 4 0.693 4 ../dd_rasters/Mammalia_Aethomys stannarius.tif
1 4 0.206 4 ../dd_rasters/Mammalia_Akodon lindberghi.tif
1 4 0.154 4 ../dd_rasters/Mammalia_Akodon sanctipaulensis.tif
1 4 0.171 4 ../dd_rasters/Mammalia_Akodon varius.tif
1 4 0.131 4 ../dd_rasters/Mammalia_Allactaga tetradactyla.tif
1 4 0.271 4 ../dd_rasters/Mammalia_Allactaga firouzi.tif
1 4 0.086 4 ../dd_rasters/Mammalia_Alticola albicaudus.tif
1 2 0.18 2 ../dd_rasters/Reptilia_Pholidoscelis major.tif
1 4 0.153 4 ../dd_rasters/Mammalia_Ammodillus imbellis.tif
1 4 0.236 4 ../dd_rasters/Mammalia_Anonymomys mindorensis.tif
1 4 0.312 4 ../dd_rasters/Mammalia_Apomys littoralis.tif
1 4 0.425 4 ../dd_rasters/Mammalia_Artibeus inopinatus.tif
1 1 0.08 1 ../dd_rasters/Amphibia_Atelognathus solitarius.tif
1 4 0.26 4 ../dd_rasters/Mammalia_Batomys dentatus.tif
1 4 0.345 4 ../dd_rasters/Mammalia_Belomys pearsonii.tif
1 4 0.233 4 ../dd_rasters/Mammalia_Necromys punctulatus.tif
1 4 0.239 4 ../dd_rasters/Mammalia_Callosciurus albescens.tif
1 4 0.775 4 ../dd_rasters/Mammalia_Calomyscus tsolovi.tif
1 4 0.063 4 ../dd_rasters/Mammalia_Cardiocranius paradoxus.tif
1 4 0.263 4 ../dd_rasters/Mammalia_Carpomys melanurus.tif
1 4 0.163 4 ../dd_rasters/Mammalia_Carterodon sulcidens.tif
1 4 0.085 4 ../dd_rasters/Mammalia_Mops gallagheri.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Mops russatus.tif
1 4 0.291 4 ../dd_rasters/Mammalia_Chibchanomys trichotis.tif
1 4 0.239 4 ../dd_rasters/Mammalia_Chimarrogale sumatrana.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Chiropodomys calamianensis.tif
1 4 0.086 4 ../dd_rasters/Mammalia_Chiropodomys muroides.tif
1 4 0.124 4 ../dd_rasters/Mammalia_Chiropodomys pusillus.tif
1 4 0.099 4 ../dd_rasters/Mammalia_Calyptophractus retusus.tif
1 4 0.129 4 ../dd_rasters/Mammalia_Chlamyphorus truncatus.tif
1 4 0.724 4 ../dd_rasters/Mammalia_Calcochloris tytonis.tif
1 4 0.032 4 ../dd_rasters/Mammalia_Chrysochloris visagiei.tif
1 4 0.154 4 ../dd_rasters/Mammalia_Brassomys albidens.tif
1 4 0.073 4 ../dd_rasters/Mammalia_Coendou nycthemera.tif
1 4 0.597 4 ../dd_rasters/Mammalia_Congosorex polli.tif
1 4 0.254 4 ../dd_rasters/Mammalia_Crateromys paulus.tif
1 4 0.691 4 ../dd_rasters/Mammalia_Crocidura longipes.tif
1 4 0.133 4 ../dd_rasters/Mammalia_Crocidura polia.tif
1 4 0.228 4 ../dd_rasters/Mammalia_Crocidura raineyi.tif
1 4 0.504 4 ../dd_rasters/Mammalia_Crocidura selina.tif
1 4 0.269 4 ../dd_rasters/Mammalia_Crocidura armenica.tif
1 4 0.431 4 ../dd_rasters/Mammalia_Crocidura dhofarensis.tif
1 4 0.807 4 ../dd_rasters/Mammalia_Crocidura floweri.tif
1 4 0.187 4 ../dd_rasters/Mammalia_Crocidura grandis.tif
1 4 0.527 4 ../dd_rasters/Mammalia_Crocidura pergrisea.tif
1 4 0.817 4 ../dd_rasters/Mammalia_Crocidura religiosa.tif
1 4 0.522 4 ../dd_rasters/Mammalia_Crocidura susiana.tif
1 4 0.366 4 ../dd_rasters/Mammalia_Crocidura tenuis.tif
1 4 0.166 4 ../dd_rasters/Mammalia_Crocidura erica.tif
1 4 0.186 4 ../dd_rasters/Mammalia_Crocidura fischeri.tif
1 4 0.173 4 ../dd_rasters/Mammalia_Crocidura gracilipes.tif
1 4 0.238 4 ../dd_rasters/Mammalia_Crocidura macowi.tif
1 4 0.13 4 ../dd_rasters/Mammalia_Crocidura pitmani.tif
1 4 0.501 4 ../dd_rasters/Mammalia_Crocidura ultima.tif
1 4 0.164 4 ../dd_rasters/Mammalia_Crocidura zimmeri.tif
1 4 0.11 4 ../dd_rasters/Mammalia_Crunomys fallax.tif
1 4 0.704 4 ../dd_rasters/Mammalia_Fukomys foxi.tif
1 4 0.336 4 ../dd_rasters/Mammalia_Cryptotis hondurensis.tif
1 4 0.083 4 ../dd_rasters/Mammalia_Ctenodactylus vali.tif
1 4 0.198 4 ../dd_rasters/Mammalia_Ctenomys brasiliensis.tif
1 4 0.069 4 ../dd_rasters/Mammalia_Ctenomys colburni.tif
1 4 0.027 4 ../dd_rasters/Mammalia_Ctenomys dorsalis.tif
1 4 0.039 4 ../dd_rasters/Mammalia_Ctenomys fulvus.tif
1 4 0.1 4 ../dd_rasters/Mammalia_Ctenomys knighti.tif
1 4 0.272 4 ../dd_rasters/Mammalia_Ctenomys minutus.tif
1 4 0.13 4 ../dd_rasters/Mammalia_Ctenomys pontifex.tif
1 4 0.145 4 ../dd_rasters/Mammalia_Ctenomys saltarius.tif
1 4 0.031 4 ../dd_rasters/Mammalia_Ctenomys sericeus.tif
1 4 0.154 4 ../dd_rasters/Mammalia_Ctenomys tuconax.tif
1 4 0.197 4 ../dd_rasters/Mammalia_Ctenomys tucumanus.tif
1 4 0.128 4 ../dd_rasters/Mammalia_Ctenomys validus.tif
1 4 0.22 4 ../dd_rasters/Mammalia_Dacnomys millardi.tif
1 4 0.136 4 ../dd_rasters/Mammalia_Dactylomys peruanus.tif
1 4 0.703 4 ../dd_rasters/Mammalia_Dasymys foxi.tif
1 4 0.236 4 ../dd_rasters/Mammalia_Dasymys nudipes.tif
1 4 0.212 4 ../dd_rasters/Mammalia_Dasyprocta azarae.tif
1 4 0.093 4 ../dd_rasters/Mammalia_Dasyprocta kalinowskii.tif
1 4 0.191 4 ../dd_rasters/Mammalia_Dasypus pilosus.tif
1 4 0.077 4 ../dd_rasters/Mammalia_Dendrogale melanura.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Dendromus vernayi.tif
1 4 0.819 4 ../dd_rasters/Mammalia_Dendroprionomys rousseloti.tif
1 2 0.011 2 ../dd_rasters/Reptilia_Denisonia maculata.tif
1 4 0.018 4 ../dd_rasters/Mammalia_Diclidurus ingens.tif
1 4 0.002 4 ../dd_rasters/Mammalia_Dicrostonyx vinogradovi.tif
1 4 0.227 4 ../dd_rasters/Mammalia_Diomys crumpi.tif
1 4 0.637 4 ../dd_rasters/Mammalia_Diplomys caniceps.tif
1 4 0.237 4 ../dd_rasters/Mammalia_Dryomys laniger.tif
1 4 0.111 4 ../dd_rasters/Mammalia_Chaetocauda sichuanensis.tif
1 4 0.225 4 ../dd_rasters/Mammalia_Phyllomys lamarum.tif
1 4 0.027 4 ../dd_rasters/Mammalia_Echimys saturnus.tif
1 4 0.045 4 ../dd_rasters/Mammalia_Echymipera echinista.tif
1 4 0.16 4 ../dd_rasters/Mammalia_Elephantulus revoilii.tif
1 4 0.155 4 ../dd_rasters/Mammalia_Ellobius alaicus.tif
1 4 0.294 4 ../dd_rasters/Mammalia_Eothenomys proditor.tif
1 4 0.194 4 ../dd_rasters/Mammalia_Epomophorus grandis.tif
1 4 0.058 4 ../dd_rasters/Mammalia_Eptesicus bobrinskoi.tif
1 4 0.337 4 ../dd_rasters/Mammalia_Eptesicus dimissus.tif
1 4 0.722 4 ../dd_rasters/Mammalia_Eptesicus kobayashii.tif
1 4 0.569 4 ../dd_rasters/Mammalia_Eptesicus platyops.tif
1 4 0.474 4 ../dd_rasters/Mammalia_Eptesicus tatei.tif
1 4 0.035 4 ../dd_rasters/Mammalia_Eumops maurus.tif
1 4 0.078 4 ../dd_rasters/Mammalia_Euneomys chinchilloides.tif
1 4 0.227 4 ../dd_rasters/Mammalia_Euroscaptor parvidens.tif
1 4 0.125 4 ../dd_rasters/Mammalia_Exilisciurus exilis.tif
1 4 0.125 4 ../dd_rasters/Mammalia_Funisciurus bayonii.tif
1 4 0.267 4 ../dd_rasters/Mammalia_Funisciurus substriatus.tif
1 2 0.033 2 ../dd_rasters/Reptilia_Furina dunmalli.tif
1 4 0.165 4 ../dd_rasters/Mammalia_Galenomys garleppi.tif
1 4 0.296 4 ../dd_rasters/Mammalia_Genetta abyssinica.tif
1 4 0.208 4 ../dd_rasters/Mammalia_Gerbillus acticola.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Gerbillus muriculus.tif
1 4 0.142 4 ../dd_rasters/Mammalia_Gerbillus nancillus.tif
1 4 0.707 4 ../dd_rasters/Mammalia_Gerbillus bottai.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Gerbillus brockmani.tif
1 4 0.155 4 ../dd_rasters/Mammalia_Gerbillus cosensis.tif
1 4 0.207 4 ../dd_rasters/Mammalia_Gerbillus grobbeni.tif
1 4 0.391 4 ../dd_rasters/Mammalia_Gerbillus jamesi.tif
1 4 0.114 4 ../dd_rasters/Mammalia_Gerbillus latastei.tif
1 4 0.219 4 ../dd_rasters/Mammalia_Gerbillus lowei.tif
1 4 0.028 4 ../dd_rasters/Mammalia_Gerbillus occiduus.tif
