condition group weight wgrp filename
1 2 0.49 2 ../lost_rasters/Reptilia_Hypsirhynchus ater.tif
1 2 0.363 2 ../lost_rasters/Reptilia_Anolis roosevelti.tif
1 1 0.306 1 ../lost_rasters/Amphibia_Arthroleptides dutoiti.tif
1 4 0.124 4 ../lost_rasters/Mammalia_Biswamoyopterus biswasi.tif
1 4 0.123 4 ../lost_rasters/Mammalia_Bos sauveli.tif
1 2 0.233 2 ../lost_rasters/Reptilia_Celestus fowleri.tif
1 2 0.507 2 ../lost_rasters/Reptilia_Celestus microblepharis.tif
1 2 0.537 2 ../lost_rasters/Reptilia_Celestus occiduus.tif
1 4 0.724 4 ../lost_rasters/Mammalia_Calcochloris tytonis.tif
1 4 0.032 4 ../lost_rasters/Mammalia_Chrysochloris visagiei.tif
1 4 0.254 4 ../lost_rasters/Mammalia_Crateromys paulus.tif
1 4 0.551 4 ../lost_rasters/Mammalia_Cryptochloris wintoni.tif
1 4 0.28 4 ../lost_rasters/Mammalia_Cryptochloris zyli.tif
1 2 0.004 2 ../lost_rasters/Reptilia_Ctenotus zastictus.tif
1 4 0.139 4 ../lost_rasters/Mammalia_Dendromus vernayi.tif
1 1 0.483 1 ../lost_rasters/Amphibia_Eleutherodactylus jasperi.tif
1 1 0.54 1 ../lost_rasters/Amphibia_Eleutherodactylus junori.tif
1 1 0.635 1 ../lost_rasters/Amphibia_Eleutherodactylus karlschmidti.tif
1 1 0.236 1 ../lost_rasters/Amphibia_Eleutherodactylus sisyphodemus.tif
1 1 0.511 1 ../lost_rasters/Amphibia_Eleutherodactylus eneidae.tif
1 1 0.066 1 ../lost_rasters/Amphibia_Holoaden bradei.tif
1 1 0.603 1 ../lost_rasters/Amphibia_Bokermannohyla izecksohni.tif
1 1 0.127 1 ../lost_rasters/Amphibia_Bokermannohyla langei.tif
1 1 0.344 1 ../lost_rasters/Amphibia_Boana secedens.tif
1 4 0.187 4 ../lost_rasters/Mammalia_Leimacomys buettneri.tif
1 2 0.534 2 ../lost_rasters/Reptilia_Erythrolamprus cursor.tif
1 2 0.797 2 ../lost_rasters/Reptilia_Erythrolamprus perfuscus.tif
1 1 0.047 1 ../lost_rasters/Amphibia_Litoria nyakalensis.tif
1 1 0.141 1 ../lost_rasters/Amphibia_Litoria piperata.tif
1 4 0.402 4 ../lost_rasters/Mammalia_Melanomys zunigae.tif
1 4 0.168 4 ../lost_rasters/Mammalia_Melomys fraterculus.tif
1 4 0.185 4 ../lost_rasters/Mammalia_Melomys rubicola.tif
1 4 0.054 4 ../lost_rasters/Mammalia_Mesocapromys nanus.tif
1 4 0.152 4 ../lost_rasters/Mammalia_Mesocapromys sanfelipensis.tif
1 4 0.017 4 ../lost_rasters/Mammalia_Neonycteris pusilla.tif
1 4 0.182 4 ../lost_rasters/Mammalia_Monodelphis unistriata.tif
1 4 0.39 4 ../lost_rasters/Mammalia_Murina tenebrosa.tif
1 4 0.067 4 ../lost_rasters/Mammalia_Mystacina robusta.tif
1 2 0 2 ../lost_rasters/Reptilia_Carinascincus palfreymani.tif
1 4 0.275 4 ../lost_rasters/Mammalia_Octodon pacificus.tif
1 1 0.066 1 ../lost_rasters/Amphibia_Paratelmatobius lutzii.tif
1 1 0.5 1 ../lost_rasters/Amphibia_Bufoides kempi.tif
1 4 0.005 4 ../lost_rasters/Mammalia_Peromyscus guardia.tif
1 4 0.471 4 ../lost_rasters/Mammalia_Peromyscus mekisturus.tif
1 4 0.203 4 ../lost_rasters/Mammalia_Phalanger matanim.tif
1 4 0.537 4 ../lost_rasters/Mammalia_Piliocolobus waldroni.tif
1 4 0.084 4 ../lost_rasters/Mammalia_Pteralopex pulchra.tif
1 1 0.217 1 ../lost_rasters/Amphibia_Lithobates fisheri.tif
1 1 0.91 1 ../lost_rasters/Amphibia_Lithobates tlaloci.tif
1 1 0.266 1 ../lost_rasters/Amphibia_Rhinoderma rufum.tif
1 4 0.168 4 ../lost_rasters/Mammalia_Rhynchomeles prattorum.tif
1 4 0.169 4 ../lost_rasters/Mammalia_Sylvilagus insonus.tif
1 1 0.162 1 ../lost_rasters/Amphibia_Telmatobius pefauri.tif
1 4 0.02 4 ../lost_rasters/Mammalia_Thallomys shortridgei.tif
1 1 0.362 1 ../lost_rasters/Amphibia_Thoropa petropolitana.tif
1 2 0.133 2 ../lost_rasters/Reptilia_Tribolonotus ponceleti.tif
1 4 0.389 4 ../lost_rasters/Mammalia_Tylomys bullaris.tif
1 4 0.522 4 ../lost_rasters/Mammalia_Tylomys tumbalensis.tif
1 2 0.399 2 ../lost_rasters/Reptilia_Tympanocryptis pinguicolla.tif
1 4 0.11 4 ../lost_rasters/Mammalia_Uromys imperator.tif
1 4 0.11 4 ../lost_rasters/Mammalia_Uromys porculus.tif
1 4 0.585 4 ../lost_rasters/Mammalia_Viverra civettina.tif
1 1 0.185 1 ../lost_rasters/Amphibia_Dendropsophus amicorum.tif
1 1 0.361 1 ../lost_rasters/Amphibia_Plethodon ainsworthi.tif
1 2 0.501 2 ../lost_rasters/Reptilia_Caribicus anelpistus.tif
1 1 0.663 1 ../lost_rasters/Amphibia_Eurycea robusta.tif
1 4 0.24 4 ../lost_rasters/Mammalia_Oryzorictes tetradactylus.tif
1 4 0.618 4 ../lost_rasters/Mammalia_Nilopegamys plumbeus.tif
1 4 0.215 4 ../lost_rasters/Mammalia_Elephantulus fuscipes.tif
1 1 0.231 1 ../lost_rasters/Amphibia_Brachycephalus nodoterga.tif
1 1 0.391 1 ../lost_rasters/Amphibia_Ansonia siamensis.tif
1 1 0.173 1 ../lost_rasters/Amphibia_Rhinella chrysophora.tif
