"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0018 0.0012
0.00020 0.0024 0.0024
0.00030 0.0030 0.0030
0.00040 0.0042 0.0042
0.00050 0.0030 0.0024
0.00060 0.0030 0.0042
0.00070 0.0042 0.0036
0.00080 0.0042 0.0042
0.00090 0.0048 0.0048
0.00100 0.0048 0.0048
0.00110 0.0036 0.0036
0.00120 0.0048 0.0048
0.00130 0.0042 0.0048
0.00140 0.0048 0.0036
0.00150 0.0054 0.0060
0.00160 0.0060 0.0060
0.00170 0.0054 0.0054
0.00180 0.0060 0.0060
0.00190 0.0060 0.0054
0.00200 0.0060 0.0060
0.00210 0.0054 0.0060
0.00220 0.0066 0.0054
0.00230 0.0060 0.0060
0.00240 0.0060 0.0066
0.00250 0.0054 0.0060
0.00260 0.0066 0.0054
0.00270 0.0060 0.0066
0.00280 0.0060 0.0060
0.00290 0.0054 0.0060
0.00300 0.0066 0.0054
0.00310 0.0060 0.0066
0.00319 0.0066 0.0060
0.00329 0.0054 0.0060
0.00339 0.0060 0.0066
0.00349 0.0060 0.0054
0.00359 0.0066 0.0060
0.00369 0.0060 0.0060
0.00379 0.0060 0.0066
0.00389 0.0060 0.0054
0.00399 0.0060 0.0072
0.00409 0.0066 0.0054
0.00419 0.0054 0.0060
0.00429 0.0066 0.0054
0.00439 0.0054 0.0072
0.00449 0.0066 0.0054
0.00459 0.0066 0.0060
0.00469 0.0054 0.0066
0.00479 0.0066 0.0060
0.00489 0.0054 0.0054
0.00499 0.0066 0.0060
0.00509 0.0060 0.0066
0.00519 0.0060 0.0060
0.00529 0.0054 0.0054
0.00539 0.0066 0.0066
0.00549 0.0060 0.0060
0.00559 0.0066 0.0060
0.00569 0.0060 0.0054
0.00579 0.0054 0.0066
0.00589 0.0066 0.0060
0.00599 0.0060 0.0060
0.00609 0.0066 0.0066
0.00619 0.0054 0.0054
0.00629 0.0066 0.0060
0.00639 0.0054 0.0066
0.00649 0.0066 0.0060
0.00659 0.0066 0.0054
0.00669 0.0054 0.0072
0.00679 0.0066 0.0054
0.00689 0.0054 0.0060
0.00699 0.0066 0.0054
0.00709 0.0060 0.0072
0.00719 0.0060 0.0054
0.00729 0.0054 0.0060
0.00739 0.0066 0.0066
0.00749 0.0060 0.0060
0.00759 0.0066 0.0054
0.00769 0.0060 0.0060
0.00779 0.0054 0.0066
0.00789 0.0066 0.0060
0.00799 0.0060 0.0066
0.00809 0.0060 0.0054
0.00819 0.0060 0.0060
0.00829 0.0060 0.0060
0.00839 0.0060 0.0054
0.00849 0.0066 0.0066
0.00859 0.0054 0.0060
0.00869 0.0066 0.0066
0.00879 0.0054 0.0060
0.00889 0.0066 0.0054
0.00899 0.0066 0.0060
0.00909 0.0054 0.0060
0.00919 0.0054 0.0066
0.00929 0.0066 0.0054
0.00938 0.0066 0.0072
0.00948 0.0060 0.0054
0.00958 0.0066 0.0060
0.00968 0.0066 0.0078
0.00978 0.0066 0.0054
0.00988 0.0072 0.0078
0.00998 0.0060 0.0060
0.01008 0.0084 0.0072
0.01018 0.0119 0.0072
0.01028 0.0125 0.0066
0.01038 0.0125 0.0078
0.01048 0.0131 0.0066
0.01058 0.0125 0.0066
0.01068 0.0125 0.0066
0.01078 0.0119 0.0066
0.01088 0.0125 0.0078
0.01098 0.0125 0.0066
0.01108 0.0125 0.0072
0.01118 0.0131 0.0066
0.01128 0.0096 0.0078
0.01138 0.0096 0.0066
0.01148 0.0084 0.0078
0.01158 0.0090 0.0054
0.01168 0.0096 0.0078
0.01178 0.0090 0.0078
0.01188 0.0084 0.0054
0.01198 0.0096 0.0078
0.01208 0.0101 0.0066
0.01218 0.0078 0.0078
0.01228 0.0096 0.0066
0.01238 0.0096 0.0078
0.01248 0.0090 0.0060
0.01258 0.0084 0.0078
0.01268 0.0096 0.0072
0.01278 0.0084 0.0072
0.01288 0.0096 0.0066
0.01298 0.0096 0.0078
0.01308 0.0084 0.0066
0.01318 0.0090 0.0066
0.01328 0.0096 0.0078
0.01338 0.0090 0.0066
0.01348 0.0090 0.0078
0.01358 0.0096 0.0066
0.01368 0.0084 0.0078
0.01378 0.0090 0.0054
0.01388 0.0096 0.0078
0.01398 0.0090 0.0078
0.01408 0.0096 0.0066
0.01418 0.0084 0.0066
0.01428 0.0096 0.0078
0.01438 0.0084 0.0066
0.01448 0.0096 0.0072
0.01458 0.0096 0.0072
0.01468 0.0078 0.0072
0.01478 0.0096 0.0066
0.01488 0.0090 0.0078
0.01498 0.0096 0.0066
0.01508 0.0090 0.0066
0.01518 0.0096 0.0078
0.01528 0.0084 0.0078
0.01538 0.0090 0.0054
0.01548 0.0096 0.0078
0.01558 0.0090 0.0078
0.01567 0.0096 0.0066
0.01577 0.0084 0.0066
0.01587 0.0090 0.0078
0.01597 0.0090 0.0066
