rank,remaining_area,remaining_cost,mean,max,min,mean_positive,weighted_mean_positive,max_positive,min_positive
0,2333725,0,1,1,1,1,1,1,1
0.0001,2333492,0,1,1,0.9996,1,1,1,0.9996
0.0002,2333259,0,1,1,0.9993,1,1,1,0.9993
0.0003,2333026,0,1,1,0.999,1,1,1,0.999
0.0004,2332793,0,1,1,0.9984,1,1,1,0.9984
0.0005,2332560,0,1,1,0.9979,1,1,1,0.9979
0.0006,2332327,0,1,1,0.9974,1,1,1,0.9974
0.0007,2332094,0,1,1,0.9969,1,1,1,0.9969
0.0008,2331861,0,1,1,0.9963,1,1,1,0.9963
0.0009,2331628,0,1,1,0.9958,1,1,1,0.9958
0.001,2331395,0,1,1,0.9953,1,1,1,0.9953
0.0011,2331162,0,1,1,0.9948,1,1,1,0.9948
0.0012,2330929,0,1,1,0.9942,1,1,1,0.9942
0.0013,2330696,0,1,1,0.9937,1,1,1,0.9937
0.0014,2330463,0,1,1,0.9932,1,1,1,0.9932
0.0015,2330230,0,1,1,0.9931,1,1,1,0.9931
0.0016,2329997,0,1,1,0.9931,1,1,1,0.9931
0.0017,2329764,0,1,1,0.9931,1,1,1,0.9931
0.0018,2329531,0,1,1,0.9931,1,1,1,0.9931
0.0019,2329298,0,1,1,0.9916,1,1,1,0.9916
0.002,2329065,0,1,1,0.9916,1,1,1,0.9916
0.0021,2328832,0,1,1,0.9916,1,1,1,0.9916
0.0022,2328599,0,1,1,0.9916,1,1,1,0.9916
0.0023,2328366,0,1,1,0.9916,1,1,1,0.9916
0.0024,2328133,0,1,1,0.9916,1,1,1,0.9916
0.0025,2327900,0,1,1,0.9916,1,1,1,0.9916
0.0026,2327667,0,1,1,0.9916,1,1,1,0.9916
0.0027,2327434,0,1,1,0.9916,1,1,1,0.9916
0.0028,2327201,0,1,1,0.9916,1,1,1,0.9916
0.0029,2326968,0,1,1,0.9897,1,1,1,0.9897
0.003,2326735,0,1,1,0.9879,1,1,1,0.9879
0.0031,2326502,0,1,1,0.986,1,1,1,0.986
0.00319,2326269,0,1,1,0.9842,1,1,1,0.9842
0.00329,2326036,0,1,1,0.9823,1,1,1,0.9823
0.00339,2325803,0,1,1,0.9805,1,1,1,0.9805
0.00349,2325570,0,1,1,0.9786,1,1,1,0.9786
0.00359,2325337,0,1,1,0.9768,1,1,1,0.9768
0.00369,2325104,0,1,1,0.9749,1,1,1,0.9749
0.00379,2324871,0,1,1,0.9736,1,1,1,0.9736
0.00389,2324638,0,1,1,0.9717,1,1,1,0.9717
0.00399,2324405,0,1,1,0.9699,1,1,1,0.9699
0.00409,2324172,0,1,1,0.968,1,1,1,0.968
0.00419,2323939,0,1,1,0.9662,1,1,1,0.9662
0.00429,2323706,0,1,1,0.9643,1,1,1,0.9643
0.00439,2323473,0,1,1,0.9625,1,1,1,0.9625
0.00449,2323240,0,1,1,0.9606,1,1,1,0.9606
0.00459,2323007,0,1,1,0.9588,1,1,1,0.9588
0.00469,2322774,0,1,1,0.9569,1,1,1,0.9569
0.00479,2322541,0,1,1,0.9551,1,1,1,0.9551
0.00489,2322308,0,1,1,0.9532,1,1,1,0.9532
0.00499,2322075,0,1,1,0.9514,1,1,1,0.9514
0.00509,2321842,0,1,1,0.9495,1,1,1,0.9495
0.00519,2321609,0,1,1,0.9476,1,1,1,0.9476
0.00529,2321376,0,1,1,0.9458,1,1,1,0.9458
0.00539,2321143,0,1,1,0.9439,1,1,1,0.9439
0.00549,2320910,0,1,1,0.9421,1,1,1,0.9421
0.00559,2320677,0,1,1,0.9402,1,1,1,0.9402
0.00569,2320444,0,1,1,0.9384,1,1,1,0.9384
0.00579,2320211,0,1,1,0.9365,1,1,1,0.9365
0.00589,2319978,0,1,1,0.9347,1,1,1,0.9347
0.00599,2319745,0,1,1,0.9328,1,1,1,0.9328
0.00609,2319512,0,1,1,0.9316,1,1,1,0.9316
0.00619,2319279,0,1,1,0.9311,1,1,1,0.9311
0.00629,2319046,0,1,1,0.9294,1,1,1,0.9294
0.00639,2318813,0,1,1,0.9275,1,1,1,0.9275
0.00649,2318580,0,1,1,0.9257,1,1,1,0.9257
0.00659,2318347,0,1,1,0.9238,1,1,1,0.9238
0.00669,2318114,0,1,1,0.922,1,1,1,0.922
0.00679,2317881,0,1,1,0.9201,1,1,1,0.9201
0.00689,2317648,0,1,1,0.9183,1,1,1,0.9183
0.00699,2317415,0,1,1,0.9164,1,1,1,0.9164
0.00709,2317182,0,1,1,0.9146,1,1,1,0.9146
0.00719,2316949,0,1,1,0.9127,1,1,1,0.9127
0.00729,2316716,0,1,1,0.9109,1,1,1,0.9109
0.00739,2316483,0,1,1,0.909,1,1,1,0.909
0.00749,2316250,0,1,1,0.9072,1,1,1,0.9072
0.00759,2316017,0,1,1,0.9053,1,1,1,0.9053
0.00769,2315784,0,1,1,0.9035,1,1,1,0.9035
0.00779,2315551,0,1,1,0.9016,1,1,1,0.9016
0.00789,2315318,0,1,1,0.8998,1,1,1,0.8998
0.00799,2315085,0,1,1,0.8979,1,1,1,0.8979
0.00809,2314852,0,1,1,0.8961,1,1,1,0.8961
0.00819,2314619,0,1,1,0.8942,1,1,1,0.8942
0.00829,2314386,0,1,1,0.8924,1,1,1,0.8924
0.00839,2314153,0,1,1,0.8905,1,1,1,0.8905
0.00849,2313920,0,1,1,0.8887,1,1,1,0.8887
0.00859,2313687,0,1,1,0.8868,1,1,1,0.8868
0.00869,2313454,0,1,1,0.885,1,1,1,0.885
0.00879,2313221,0,1,1,0.8831,1,1,1,0.8831
0.00889,2312988,0,0.9999,1,0.8812,0.9999,1,1,0.8812
0.00899,2312755,0,0.9999,1,0.8794,0.9999,0.9999,1,0.8794
0.00909,2312522,0,0.9999,1,0.8775,0.9999,0.9999,1,0.8775
0.00919,2312289,0,0.9999,1,0.8757,0.9999,0.9999,1,0.8757
0.00929,2312056,0,0.9999,1,0.8738,0.9999,0.9999,1,0.8738
0.00938,2311823,0,0.9999,1,0.872,0.9999,0.9999,1,0.872
0.00948,2311590,0,0.9999,1,0.8706,0.9999,0.9999,1,0.8706
0.00958,2311357,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.00968,2311124,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.00978,2310891,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.00988,2310658,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.00998,2310425,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01008,2310192,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01018,2309959,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01028,2309726,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01038,2309493,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01048,2309260,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01058,2309027,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01068,2308794,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01078,2308561,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01088,2308328,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01098,2308095,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01108,2307862,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01118,2307629,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01128,2307396,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01138,2307163,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01148,2306930,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01158,2306697,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01168,2306464,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01178,2306231,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01188,2305998,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01198,2305765,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
