"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.00000 0.0000 0.0000 0.0000
0.00010 0.0000 0.0000 693.0567
0.00020 0.0000 0.0000 264.9774
0.00030 0.0000 0.0000 96.9831
0.00040 0.0000 0.0000 96.9831
0.00050 0.0000 0.0000 96.9831
0.00060 0.0000 0.0000 96.9831
0.00070 0.0000 0.0000 2089.3557
0.00080 0.0000 0.0000 720.2877
0.00090 0.0072 0.0000 715.8011
0.00100 0.0161 0.0000 0.0000
0.00110 0.0161 0.0000 0.0000
0.00120 0.0161 0.0000 0.0000
0.00130 0.0149 0.0000 0.0000
0.00140 0.0161 0.0012 0.0000
0.00150 0.0161 0.0000 0.0000
0.00160 0.0161 0.0000 0.0000
0.00170 0.0161 0.0000 0.0000
0.00180 0.0161 0.0006 0.0000
0.00190 0.0161 0.0000 0.0000
0.00200 0.0161 0.0000 0.0000
0.00210 0.0155 0.0000 0.0000
0.00220 0.0155 0.0000 0.0000
0.00230 0.0161 0.0000 0.0000
0.00240 0.0161 0.0000 0.0000
0.00250 0.0161 0.0012 0.0000
0.00260 0.0161 0.0000 0.0000
0.00270 0.0149 0.0000 0.0000
0.00279 0.0161 0.0000 0.0000
0.00289 0.0161 0.0006 0.0000
0.00299 0.0161 0.0000 0.0000
0.00309 0.0161 0.0000 0.0000
0.00319 0.0161 0.0000 0.0000
0.00329 0.0161 0.0000 0.0000
0.00339 0.0155 0.0000 0.0000
0.00349 0.0161 0.0012 0.0000
0.00359 0.0155 0.0000 0.0000
0.00369 0.0161 0.0000 0.0000
0.00379 0.0161 0.0000 0.0000
0.00389 0.0161 0.0012 0.0000
0.00399 0.0149 0.0000 0.0000
0.00409 0.0161 0.0000 0.0000
0.00419 0.0161 0.0000 0.0000
0.00429 0.0161 0.0000 0.0000
0.00439 0.0161 0.0000 0.0000
0.00449 0.0161 0.0000 0.0000
0.00459 0.0155 0.0006 0.0000
0.00469 0.0161 0.0000 0.0000
0.00479 0.0161 0.0000 0.0000
0.00489 0.0155 0.0000 238.5258
0.00499 0.0161 0.0012 238.5260
0.00509 0.0161 0.0000 0.0000
0.00519 0.0155 0.0000 0.0000
0.00529 0.0155 0.0000 0.0000
0.00539 0.0161 0.0000 0.0000
0.00549 0.0161 0.0000 0.0000
0.00559 0.0161 0.0000 0.0000
0.00569 0.0161 0.0006 0.0000
0.00579 0.0161 0.0000 0.0000
0.00589 0.0155 0.0000 0.0000
0.00599 0.0161 0.0000 0.0000
0.00609 0.0161 0.0012 0.0000
0.00619 0.0155 0.0000 0.0000
0.00629 0.0161 0.0000 0.0000
0.00639 0.0161 0.0000 0.0000
0.00649 0.0155 0.0000 0.0000
0.00659 0.0155 0.0000 0.0000
0.00669 0.0161 0.0012 0.0000
0.00679 0.0161 0.0000 0.0000
0.00689 0.0161 0.0000 0.0000
0.00699 0.0161 0.0000 0.0000
0.00709 0.0155 0.0006 0.0000
0.00719 0.0161 0.0000 0.0000
0.00729 0.0161 0.0000 0.0000
0.00739 0.0161 0.0000 0.0000
0.00749 0.0155 0.0000 0.0000
0.00759 0.0161 0.0000 0.0000
0.00769 0.0155 0.0000 0.0000
0.00779 0.0161 0.0012 0.0000
0.00789 0.0161 0.0000 0.0000
0.00799 0.0155 0.0000 0.0000
0.00809 0.0209 0.0000 0.0000
0.00819 0.0233 0.0000 20.0648
0.00829 0.0233 0.0006 30.3021
0.00838 0.0221 0.0000 39.3106
0.00848 0.0245 0.0000 48.3968
0.00858 0.0221 0.0000 123.8533
0.00868 0.0245 0.0000 132.7618
0.00878 0.0221 0.0000 95.9922
0.00888 0.0233 0.0000 123.0275
0.00898 0.0233 0.0012 64.3496
0.00908 0.0233 0.0000 55.8609
0.00918 0.0233 0.0012 27.6589
0.00928 0.0233 0.0000 39.1314
0.00938 0.0227 0.0000 28.1476
0.00948 0.0233 0.0000 34.2974
0.00958 0.0233 0.0000 25.6496
0.00968 0.0233 0.0000 70.2059
0.00978 0.0233 0.0000 86.8157
0.00988 0.0233 0.0006 206.7195
0.00998 0.0227 0.0000 130.2995
0.01008 0.0239 0.0012 164.6662
0.01018 0.0227 0.0000 220.9514
0.01028 0.0239 0.0000 139.5146
0.01038 0.0227 0.0000 172.4092
0.01048 0.0233 0.0000 98.8587
0.01058 0.0233 0.0000 85.2359
0.01068 0.0221 0.0000 123.5586
0.01078 0.0245 0.0006 58.8609
0.01088 0.0221 0.0000 48.5822
0.01098 0.0245 0.0012 53.9146
0.01108 0.0221 0.0000 54.2662
0.01118 0.0233 0.0000 71.3011
0.01128 0.0233 0.0000 68.1979
0.01138 0.0233 0.0000 34.4163
0.01148 0.0233 0.0000 22.8617
0.01158 0.0233 0.0000 23.0413
0.01168 0.0233 0.0012 23.0412
0.01178 0.0227 0.0000 23.9887
0.01188 0.0233 0.0000 23.8583
0.01198 0.0233 0.0006 23.9074
0.01208 0.0233 0.0000 23.7906
0.01218 0.0233 0.0000 24.3831
0.01228 0.0227 0.0000 24.6751
0.01238 0.0239 0.0000 24.6656
0.01248 0.0227 0.0000 27.3645
0.01258 0.0239 0.0012 27.0542
0.01268 0.0227 0.0000 28.0154
0.01278 0.0239 0.0000 29.0654
0.01288 0.0227 0.0006 29.0562
0.01298 0.0316 0.0000 16.8470
0.01308 0.0322 0.0000 20.7249
0.01318 0.0328 0.0000 25.2334
0.01328 0.0328 0.0000 20.8188
0.01338 0.0322 0.0000 17.4512
0.01348 0.0328 0.0000 24.3917
0.01358 0.0322 0.0012 27.6489
0.01368 0.0328 0.0012 10.5460
0.01378 0.0322 0.0000 39.0174
0.01387 0.0328 0.0000 29.8708
0.01397 0.0328 0.0000 17.6717
0.01407 0.0322 0.0000 14.4594
0.01417 0.0322 0.0000 21.7638
0.01427 0.0328 0.0000 21.5018
0.01437 0.0322 0.0006 20.0125
0.01447 0.0328 0.0012 6.1904
0.01457 0.0328 0.0000 18.3248
0.01467 0.0322 0.0000 20.7679
0.01477 0.0328 0.0000 20.7679
0.01487 0.0322 0.0000 21.3788
0.01497 0.0322 0.0000 29.2111
0.01507 0.0328 0.0000 49.0983
0.01517 0.0316 0.0006 51.4872
0.01527 0.0334 0.0000 53.8767
0.01537 0.0328 0.0000 77.9854
0.01547 0.0328 0.0012 79.3144
0.01557 0.0322 0.0000 16.4381
0.01567 0.0316 0.0000 17.7139
0.01577 0.0322 0.0000 12.2162
0.01587 0.0328 0.0012 0.0000
0.01597 0.0334 0.0000 0.0000
0.01607 0.0316 0.0000 0.0000
0.01617 0.0322 0.0006 0.0000
0.01627 0.0328 0.0000 0.0000
0.01637 0.0322 0.0000 0.0000
0.01647 0.0328 0.0000 0.0000
0.01657 0.0322 0.0000 0.0000
0.01667 0.0322 0.0000 0.0000
0.01677 0.0322 0.0012 0.0000
0.01687 0.0316 0.0000 0.0000
0.01697 0.0328 0.0000 0.0000
0.01707 0.0322 0.0006 0.0000
0.01717 0.0328 0.0000 0.0000
0.01727 0.0322 0.0000 0.0000
0.01737 0.0322 0.0000 0.0000
0.01747 0.0322 0.0000 0.0000
0.01757 0.0316 0.0012 0.0000
0.01767 0.0334 0.0000 0.0000
0.01777 0.0316 0.0000 0.0000
0.01787 0.0621 0.0012 0.0000
0.01797 0.0693 0.0000 0.0000
0.01807 0.0687 0.0000 0.0000
0.01817 0.0693 0.0000 0.0000
0.01827 0.0693 0.0000 0.0000
0.01837 0.0687 0.0006 0.0000
0.01847 0.0693 0.0000 0.0000
0.01857 0.0687 0.0012 0.0000
0.01867 0.0693 0.0000 0.0000
0.01877 0.0693 0.0000 0.0000
0.01887 0.0687 0.0000 0.0000
0.01897 0.0693 0.0006 0.0000
0.01907 0.0693 0.0000 0.0000
0.01917 0.0687 0.0012 0.0000
0.01927 0.0693 0.0000 0.0000
0.01936 0.0693 0.0000 0.0000
0.01946 0.0687 0.0000 0.0000
0.01956 0.0687 0.0000 0.0000
0.01966 0.0687 0.0012 0.0000
0.01976 0.0131 0.0006 0.0000
0.01986 0.1266 0.0000 0.3592
0.01996 0.1720 0.0000 1.6165
0.02006 0.0878 0.0012 0.1797
0.02016 0.0794 0.0000 0.1796
