"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00010 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9981 1.0000 0.0000 
0.00020 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9998 1.0000 0.9918 0.9974 1.0000 0.0000 
0.00030 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9940 1.0000 0.7885 0.9974 1.0000 0.0000 
0.00040 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9881 1.0000 0.5852 0.9974 1.0000 0.0000 
0.00050 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9823 1.0000 0.3819 0.9974 1.0000 0.0000 
0.00060 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9765 1.0000 0.1786 0.9974 1.0000 0.0000 
0.00070 1.0000 1.0000 1.0000 0.9969 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00080 1.0000 1.0000 1.0000 0.9958 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00090 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00100 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00110 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00120 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00130 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00140 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00150 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00160 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00170 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00180 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00190 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00200 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00210 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00220 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00230 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00240 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00250 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00260 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00270 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00279 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00289 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00299 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00309 1.0000 1.0000 1.0000 0.9947 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00319 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00329 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00339 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00349 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00359 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00369 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00379 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00389 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00399 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00409 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00419 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00429 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00439 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00449 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00459 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00469 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00479 1.0000 1.0000 1.0000 0.9946 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00489 1.0000 1.0000 1.0000 0.9942 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00499 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00509 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00519 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00529 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00539 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00549 1.0000 1.0000 1.0000 0.9939 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00559 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00569 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00579 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00589 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00599 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00609 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00619 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00629 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00639 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00649 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00659 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
