"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_zero" "max_zero" "min_zero"
0.00000 2965351 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 2965055 0.0 0.9995 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.9308 1.0000 0.0000
0.00020 2964759 0.0 0.9993 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.9044 1.0000 0.0000
0.00030 2964463 0.0 0.9993 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.8947 1.0000 0.0000
0.00040 2964167 0.0 0.9992 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.8850 1.0000 0.0000
0.00050 2963871 0.0 0.9991 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.8753 1.0000 0.0000
0.00060 2963575 0.0 0.9991 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.8656 1.0000 0.0000
0.00070 2963279 0.0 0.9977 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.6571 1.0000 0.0000
0.00080 2962983 0.0 0.9972 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.5852 1.0000 0.0000
0.00090 2962687 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9977 0.5137 1.0000 0.0000
0.00100 2962391 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9929 0.5137 1.0000 0.0000
0.00110 2962095 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9880 0.5137 1.0000 0.0000
0.00120 2961799 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9832 0.5137 1.0000 0.0000
0.00130 2961503 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9784 0.5137 1.0000 0.0000
0.00140 2961207 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9735 0.5137 1.0000 0.0000
0.00150 2960911 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9687 0.5137 1.0000 0.0000
0.00160 2960615 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9638 0.5137 1.0000 0.0000
0.00170 2960319 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9590 0.5137 1.0000 0.0000
0.00180 2960023 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9541 0.5137 1.0000 0.0000
0.00190 2959727 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9493 0.5137 1.0000 0.0000
0.00200 2959431 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9444 0.5137 1.0000 0.0000
0.00210 2959135 0.0 0.9967 1.0000 0.0000 1.0000 1.0000 1.0000 0.9396 0.5137 1.0000 0.0000
0.00220 2958839 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9347 0.5137 1.0000 0.0000
0.00230 2958543 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9299 0.5137 1.0000 0.0000
0.00240 2958247 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9251 0.5137 1.0000 0.0000
0.00250 2957951 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9202 0.5137 1.0000 0.0000
0.00260 2957655 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9154 0.5137 1.0000 0.0000
0.00270 2957359 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9105 0.5137 1.0000 0.0000
0.00279 2957063 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9057 0.5137 1.0000 0.0000
0.00289 2956767 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.9008 0.5137 1.0000 0.0000
0.00299 2956471 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8960 0.5137 1.0000 0.0000
0.00309 2956175 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8911 0.5137 1.0000 0.0000
0.00319 2955879 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8863 0.5137 1.0000 0.0000
0.00329 2955583 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8814 0.5137 1.0000 0.0000
0.00339 2955287 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8766 0.5137 1.0000 0.0000
0.00349 2954991 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8717 0.5137 1.0000 0.0000
0.00359 2954695 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8669 0.5137 1.0000 0.0000
0.00369 2954399 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8621 0.5137 1.0000 0.0000
0.00379 2954103 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8572 0.5137 1.0000 0.0000
0.00389 2953807 0.0 0.9966 1.0000 0.0000 1.0000 1.0000 1.0000 0.8524 0.5137 1.0000 0.0000
0.00399 2953511 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8475 0.5137 1.0000 0.0000
0.00409 2953215 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8427 0.5137 1.0000 0.0000
0.00419 2952919 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8378 0.5137 1.0000 0.0000
0.00429 2952623 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8330 0.5137 1.0000 0.0000
0.00439 2952327 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8281 0.5137 1.0000 0.0000
0.00449 2952031 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8233 0.5137 1.0000 0.0000
0.00459 2951735 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8184 0.5137 1.0000 0.0000
0.00469 2951439 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8136 0.5137 1.0000 0.0000
0.00479 2951143 0.0 0.9966 1.0000 0.0000 0.9999 1.0000 1.0000 0.8087 0.5137 1.0000 0.0000
0.00489 2950847 0.0 0.9964 1.0000 0.0000 0.9999 1.0000 1.0000 0.8039 0.4899 1.0000 0.0000
0.00499 2950551 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7991 0.4661 1.0000 0.0000
0.00509 2950255 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7942 0.4661 1.0000 0.0000
0.00519 2949959 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7894 0.4661 1.0000 0.0000
0.00529 2949663 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7845 0.4661 1.0000 0.0000
0.00539 2949367 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7797 0.4661 1.0000 0.0000
0.00549 2949071 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7748 0.4661 1.0000 0.0000
0.00559 2948775 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7700 0.4661 1.0000 0.0000
0.00569 2948479 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7651 0.4661 1.0000 0.0000
0.00579 2948183 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7603 0.4661 1.0000 0.0000
0.00589 2947887 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7554 0.4661 1.0000 0.0000
0.00599 2947591 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7506 0.4661 1.0000 0.0000
0.00609 2947295 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7457 0.4661 1.0000 0.0000
0.00619 2946999 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7409 0.4661 1.0000 0.0000
0.00629 2946703 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7361 0.4661 1.0000 0.0000
0.00639 2946407 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7312 0.4661 1.0000 0.0000
0.00649 2946111 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7264 0.4661 1.0000 0.0000
0.00659 2945815 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7215 0.4661 1.0000 0.0000
0.00669 2945519 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7167 0.4661 1.0000 0.0000
0.00679 2945223 0.0 0.9963 1.0000 0.0000 0.9999 1.0000 1.0000 0.7118 0.4661 1.0000 0.0000
0.00689 2944927 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.7070 0.4661 1.0000 0.0000
0.00699 2944631 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.7021 0.4661 1.0000 0.0000
0.00709 2944335 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6973 0.4661 1.0000 0.0000
0.00719 2944039 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6924 0.4661 1.0000 0.0000
0.00729 2943743 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6876 0.4661 1.0000 0.0000
0.00739 2943447 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6827 0.4661 1.0000 0.0000
0.00749 2943151 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6779 0.4661 1.0000 0.0000
0.00759 2942855 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6731 0.4661 1.0000 0.0000
0.00769 2942559 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6682 0.4661 1.0000 0.0000
0.00779 2942263 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6634 0.4661 1.0000 0.0000
0.00789 2941967 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6585 0.4661 1.0000 0.0000
0.00799 2941671 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6537 0.4661 1.0000 0.0000
0.00809 2941375 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6501 0.4661 1.0000 0.0000
0.00819 2941079 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6474 0.4641 1.0000 0.0000
0.00829 2940783 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6446 0.4611 1.0000 0.0000
0.00838 2940487 0.0 0.9962 1.0000 0.0000 0.9999 1.0000 1.0000 0.6418 0.4572 1.0000 0.0000
0.00848 2940191 0.0 0.9961 1.0000 0.0000 0.9999 1.0000 1.0000 0.6390 0.4523 1.0000 0.0000
0.00858 2939895 0.0 0.9960 1.0000 0.0000 0.9999 1.0000 1.0000 0.6362 0.4400 1.0000 0.0000
0.00868 2939599 0.0 0.9959 1.0000 0.0000 0.9999 1.0000 1.0000 0.6335 0.4267 1.0000 0.0000
0.00878 2939303 0.0 0.9959 1.0000 0.0000 0.9999 1.0000 1.0000 0.6307 0.4171 1.0000 0.0000
0.00888 2939007 0.0 0.9958 1.0000 0.0000 0.9999 1.0000 1.0000 0.6279 0.4049 1.0000 0.0000
0.00898 2938711 0.0 0.9957 1.0000 0.0000 0.9999 1.0000 1.0000 0.6251 0.3984 1.0000 0.0000
0.00908 2938415 0.0 0.9957 1.0000 0.0000 0.9999 1.0000 1.0000 0.6223 0.3929 1.0000 0.0000
0.00918 2938119 0.0 0.9957 1.0000 0.0000 0.9999 1.0000 1.0000 0.6195 0.3901 1.0000 0.0000
0.00928 2937823 0.0 0.9957 1.0000 0.0000 0.9999 1.0000 1.0000 0.6168 0.3862 1.0000 0.0000
0.00938 2937527 0.0 0.9956 1.0000 0.0000 0.9999 1.0000 1.0000 0.6140 0.3834 1.0000 0.0000
0.00948 2937231 0.0 0.9956 1.0000 0.0000 0.9999 1.0000 1.0000 0.6112 0.3800 1.0000 0.0000
0.00958 2936935 0.0 0.9956 1.0000 0.0000 0.9998 1.0000 1.0000 0.6084 0.3774 1.0000 0.0000
0.00968 2936639 0.0 0.9955 1.0000 0.0000 0.9998 1.0000 1.0000 0.6056 0.3704 1.0000 0.0000
0.00978 2936343 0.0 0.9955 1.0000 0.0000 0.9998 1.0000 1.0000 0.6028 0.3617 1.0000 0.0000
0.00988 2936047 0.0 0.9953 1.0000 0.0000 0.9998 1.0000 1.0000 0.6001 0.3411 1.0000 0.0000
0.00998 2935751 0.0 0.9952 1.0000 0.0000 0.9998 1.0000 1.0000 0.5973 0.3281 1.0000 0.0000
0.01008 2935455 0.0 0.9951 1.0000 0.0000 0.9998 1.0000 1.0000 0.5945 0.3116 1.0000 0.0000
