"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0108 0.0012
0.00020 0.0192 0.0018
0.00030 0.0205 0.0006
0.00040 0.0192 0.0024
0.00050 0.0198 0.0018
0.00059 0.0198 0.0018
0.00069 0.0192 0.0018
0.00079 0.0198 0.0012
0.00089 0.0198 0.0018
0.00099 0.0198 0.0012
0.00109 0.0192 0.0018
0.00119 0.0198 0.0018
0.00129 0.0198 0.0018
0.00139 0.0192 0.0012
0.00149 0.0198 0.0018
0.00159 0.0198 0.0012
0.00168 0.0192 0.0018
0.00178 0.0198 0.0018
0.00188 0.0198 0.0018
0.00198 0.0198 0.0018
0.00208 0.0192 0.0012
0.00218 0.0198 0.0018
0.00228 0.0198 0.0012
0.00238 0.0205 0.0018
0.00248 0.0186 0.0018
0.00258 0.0205 0.0018
0.00268 0.0186 0.0024
0.00277 0.0205 0.0006
0.00287 0.0192 0.0018
0.00297 0.0205 0.0012
0.00307 0.0186 0.0018
0.00317 0.0205 0.0018
0.00327 0.0198 0.0024
0.00337 0.0198 0.0018
0.00347 0.0192 0.0006
0.00357 0.0198 0.0024
0.00367 0.0198 0.0006
0.00377 0.0192 0.0018
0.00386 0.0198 0.0024
0.00396 0.0198 0.0018
0.00406 0.0192 0.0018
0.00416 0.0198 0.0012
0.00426 0.0198 0.0006
0.00436 0.0192 0.0018
0.00446 0.0198 0.0024
0.00456 0.0198 0.0018
0.00466 0.0198 0.0018
0.00476 0.0192 0.0012
0.00486 0.0198 0.0018
0.00495 0.0198 0.0006
0.00505 0.0192 0.0024
0.00515 0.0198 0.0018
0.00525 0.0198 0.0018
0.00535 0.0192 0.0018
0.00545 0.0205 0.0012
0.00555 0.0192 0.0018
0.00565 0.0205 0.0012
0.00575 0.0186 0.0018
0.00585 0.0205 0.0018
0.00595 0.0192 0.0018
0.00604 0.0205 0.0018
0.00614 0.0186 0.0012
0.00624 0.0205 0.0018
0.00634 0.0198 0.0012
0.00644 0.0192 0.0018
0.00654 0.0198 0.0018
0.00664 0.0198 0.0018
0.00674 0.0192 0.0024
0.00684 0.0198 0.0006
0.00694 0.0198 0.0012
0.00704 0.0198 0.0018
0.00713 0.0192 0.0018
0.00723 0.0198 0.0018
0.00733 0.0198 0.0024
0.00743 0.0192 0.0006
0.00753 0.0198 0.0018
0.00763 0.0198 0.0012
0.00773 0.0192 0.0018
0.00783 0.0198 0.0018
0.00793 0.0198 0.0024
0.00803 0.0198 0.0018
0.00813 0.0192 0.0006
0.00823 0.0198 0.0024
0.00832 0.0205 0.0006
0.00842 0.0186 0.0018
0.00852 0.0205 0.0024
0.00862 0.0192 0.0018
0.00872 0.0205 0.0018
0.00882 0.0186 0.0012
0.00892 0.0205 0.0018
0.00902 0.0186 0.0006
0.00912 0.0205 0.0024
0.00922 0.0198 0.0018
0.00932 0.0198 0.0018
0.00941 0.0198 0.0018
0.00951 0.0192 0.0012
0.00961 0.0198 0.0018
0.00971 0.0198 0.0012
0.00981 0.0192 0.0018
0.00991 0.0198 0.0018
0.01001 0.0198 0.0018
0.01011 0.0192 0.0012
0.01021 0.0198 0.0018
0.01031 0.0198 0.0012
0.01041 0.0192 0.0018
0.01050 0.0198 0.0018
0.01060 0.0198 0.0018
0.01070 0.0198 0.0018
0.01080 0.0192 0.0012
0.01090 0.0198 0.0018
0.01100 0.0198 0.0012
0.01110 0.0192 0.0018
0.01120 0.0198 0.0018
0.01130 0.0198 0.0018
0.01140 0.0205 0.0024
0.01150 0.0186 0.0006
0.01159 0.0205 0.0018
0.01169 0.0192 0.0012
0.01179 0.0205 0.0018
0.01189 0.0186 0.0018
0.01199 0.0205 0.0024
0.01209 0.0186 0.0018
0.01219 0.0205 0.0006
0.01229 0.0198 0.0024
0.01239 0.0198 0.0006
0.01249 0.0192 0.0018
0.01259 0.0198 0.0024
0.01268 0.0198 0.0018
0.01278 0.0192 0.0006
0.01288 0.0198 0.0024
0.01298 0.0198 0.0006
0.01308 0.0198 0.0018
0.01318 0.0192 0.0024
0.01328 0.0198 0.0018
0.01338 0.0198 0.0018
0.01348 0.0192 0.0012
0.01358 0.0198 0.0018
0.01368 0.0198 0.0006
0.01377 0.0192 0.0024
0.01387 0.0198 0.0018
0.01397 0.0198 0.0018
0.01407 0.0198 0.0018
0.01417 0.0192 0.0012
0.01427 0.0205 0.0018
0.01437 0.0192 0.0012
0.01447 0.0205 0.0018
0.01457 0.0186 0.0018
0.01467 0.0205 0.0018
0.01477 0.0186 0.0018
0.01486 0.0205 0.0012
0.01496 0.0192 0.0018
0.01506 0.0205 0.0012
0.01516 0.0192 0.0018
0.01526 0.0198 0.0018
0.01536 0.0198 0.0018
0.01546 0.0198 0.0024
0.01556 0.0192 0.0006
0.01566 0.0198 0.0012
0.01576 0.0198 0.0018
0.01586 0.0192 0.0018
0.01595 0.0198 0.0018
0.01605 0.0198 0.0024
0.01615 0.0192 0.0006
0.01625 0.0198 0.0018
0.01635 0.0198 0.0012
0.01645 0.0192 0.0018
0.01655 0.0198 0.0018
0.01665 0.0198 0.0024
0.01675 0.0198 0.0018
0.01685 0.0192 0.0006
0.01695 0.0198 0.0024
0.01704 0.0198 0.0006
0.01714 0.0192 0.0018
0.01724 0.0198 0.0024
0.01734 0.0204 0.0018
0.01744 0.0186 0.0018
0.01754 0.0204 0.0012
0.01764 0.0192 0.0018
0.01774 0.0205 0.0006
0.01784 0.0186 0.0024
0.01794 0.0205 0.0018
0.01804 0.0192 0.0018
0.01813 0.0204 0.0018
0.01823 0.0192 0.0012
0.01833 0.0198 0.0006
0.01843 0.0198 0.0024
0.01853 0.0192 0.0018
0.01863 0.0198 0.0018
0.01873 0.0198 0.0018
0.01883 0.0192 0.0012
0.01893 0.0198 0.0018
0.01903 0.0198 0.0012
0.01913 0.0198 0.0018
0.01922 0.0192 0.0018
0.01932 0.0198 0.0018
0.01942 0.0198 0.0018
0.01952 0.0192 0.0012
0.01962 0.0198 0.0018
0.01972 0.0198 0.0012
0.01982 0.0192 0.0018
0.01992 0.0198 0.0018
0.02002 0.0198 0.0018
0.02012 0.0192 0.0024
0.02022 0.0211 0.0006
0.02031 0.0186 0.0018
0.02041 0.0205 0.0012
0.02051 0.0186 0.0018
0.02061 0.0205 0.0018
0.02071 0.0192 0.0024
0.02081 0.0204 0.0018
0.02091 0.0186 0.0006
0.02101 0.0205 0.0024
0.02111 0.0198 0.0006
0.02121 0.0192 0.0018
0.02131 0.0198 0.0024
0.02140 0.0198 0.0018
0.02150 0.0198 0.0006
0.02160 0.0192 0.0024
0.02170 0.0198 0.0006
0.02180 0.0198 0.0018
0.02190 0.0192 0.0024
0.02200 0.0198 0.0018
0.02210 0.0198 0.0018
0.02220 0.0192 0.0012
0.02230 0.0198 0.0018
0.02240 0.0198 0.0006
0.02250 0.0192 0.0024
0.02259 0.0198 0.0018
0.02269 0.0198 0.0018
0.02279 0.0198 0.0018
0.02289 0.0192 0.0012
0.02299 0.0198 0.0018
0.02309 0.0198 0.0012
0.02319 0.0192 0.0018
0.02329 0.0205 0.0018
0.02339 0.0192 0.0018
0.02349 0.0205 0.0018
0.02359 0.0186 0.0012
0.02368 0.0204 0.0018
0.02378 0.0192 0.0012
0.02388 0.0205 0.0018
0.02398 0.0186 0.0018
0.02408 0.0205 0.0018
0.02418 0.0198 0.0012
0.02428 0.0192 0.0018
0.02438 0.0198 0.0012
0.02448 0.0198 0.0018
0.02458 0.0192 0.0018
0.02468 0.0198 0.0018
0.02477 0.0198 0.0024
0.02487 0.0192 0.0006
0.02497 0.0198 0.0018
0.02507 0.0198 0.0012
0.02517 0.0198 0.0018
0.02527 0.0192 0.0018
0.02537 0.0198 0.0024
0.02547 0.0198 0.0018
0.02557 0.0192 0.0006
0.02567 0.0198 0.0024
0.02577 0.0198 0.0006
0.02586 0.0192 0.0018
0.02596 0.0198 0.0024
0.02606 0.0198 0.0018
0.02616 0.0205 0.0018
0.02626 0.0186 0.0012
0.02636 0.0205 0.0018
0.02646 0.0192 0.0006
0.02656 0.0204 0.0024
0.02666 0.0186 0.0018
0.02676 0.0205 0.0018
0.02686 0.0186 0.0018
0.02695 0.0205 0.0012
0.02705 0.0198 0.0006
0.02715 0.0198 0.0024
0.02725 0.0192 0.0018
0.02735 0.0198 0.0018
0.02745 0.0198 0.0018
0.02755 0.0198 0.0012
0.02765 0.0192 0.0018
0.02775 0.0198 0.0012
0.02785 0.0198 0.0018
0.02795 0.0192 0.0018
0.02804 0.0198 0.0018
0.02814 0.0198 0.0018
0.02824 0.0192 0.0012
0.02834 0.0198 0.0018
0.02844 0.0198 0.0012
0.02854 0.0192 0.0018
0.02864 0.0198 0.0018
0.02874 0.0198 0.0018
0.02884 0.0198 0.0024
0.02894 0.0192 0.0006
0.02904 0.0198 0.0018
