"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 353189 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 353154 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.00020 353119 0.0 1.0000 1.0000 0.9976 1.0000 1.0000 1.0000 0.9976
0.00030 353084 0.0 1.0000 1.0000 0.9961 1.0000 1.0000 1.0000 0.9961
0.00040 353049 0.0 1.0000 1.0000 0.9946 1.0000 1.0000 1.0000 0.9946
0.00050 353014 0.0 1.0000 1.0000 0.9931 1.0000 1.0000 1.0000 0.9931
0.00059 352979 0.0 1.0000 1.0000 0.9915 1.0000 1.0000 1.0000 0.9915
0.00069 352944 0.0 1.0000 1.0000 0.9900 1.0000 1.0000 1.0000 0.9900
0.00079 352909 0.0 1.0000 1.0000 0.9885 1.0000 1.0000 1.0000 0.9885
0.00089 352874 0.0 1.0000 1.0000 0.9869 1.0000 1.0000 1.0000 0.9869
0.00099 352839 0.0 1.0000 1.0000 0.9854 1.0000 1.0000 1.0000 0.9854
0.00109 352804 0.0 1.0000 1.0000 0.9839 1.0000 1.0000 1.0000 0.9839
0.00119 352769 0.0 1.0000 1.0000 0.9824 1.0000 1.0000 1.0000 0.9824
0.00129 352734 0.0 1.0000 1.0000 0.9808 1.0000 1.0000 1.0000 0.9808
0.00139 352699 0.0 1.0000 1.0000 0.9793 1.0000 1.0000 1.0000 0.9793
0.00149 352664 0.0 1.0000 1.0000 0.9778 1.0000 1.0000 1.0000 0.9778
0.00159 352629 0.0 1.0000 1.0000 0.9763 1.0000 1.0000 1.0000 0.9763
0.00168 352594 0.0 1.0000 1.0000 0.9747 1.0000 1.0000 1.0000 0.9747
0.00178 352559 0.0 1.0000 1.0000 0.9732 1.0000 1.0000 1.0000 0.9732
0.00188 352524 0.0 1.0000 1.0000 0.9717 1.0000 1.0000 1.0000 0.9717
0.00198 352489 0.0 1.0000 1.0000 0.9701 1.0000 1.0000 1.0000 0.9701
0.00208 352454 0.0 1.0000 1.0000 0.9686 1.0000 1.0000 1.0000 0.9686
0.00218 352419 0.0 1.0000 1.0000 0.9671 1.0000 1.0000 1.0000 0.9671
0.00228 352384 0.0 1.0000 1.0000 0.9656 1.0000 1.0000 1.0000 0.9656
0.00238 352349 0.0 1.0000 1.0000 0.9640 1.0000 1.0000 1.0000 0.9640
0.00248 352314 0.0 1.0000 1.0000 0.9625 1.0000 1.0000 1.0000 0.9625
0.00258 352279 0.0 1.0000 1.0000 0.9610 1.0000 1.0000 1.0000 0.9610
0.00268 352244 0.0 0.9999 1.0000 0.9594 0.9999 1.0000 1.0000 0.9594
0.00277 352209 0.0 0.9999 1.0000 0.9579 0.9999 1.0000 1.0000 0.9579
0.00287 352174 0.0 0.9999 1.0000 0.9564 0.9999 1.0000 1.0000 0.9564
0.00297 352139 0.0 0.9999 1.0000 0.9549 0.9999 1.0000 1.0000 0.9549
0.00307 352104 0.0 0.9999 1.0000 0.9533 0.9999 1.0000 1.0000 0.9533
0.00317 352069 0.0 0.9999 1.0000 0.9518 0.9999 1.0000 1.0000 0.9518
0.00327 352034 0.0 0.9999 1.0000 0.9503 0.9999 1.0000 1.0000 0.9503
0.00337 351999 0.0 0.9999 1.0000 0.9487 0.9999 1.0000 1.0000 0.9487
0.00347 351964 0.0 0.9999 1.0000 0.9472 0.9999 1.0000 1.0000 0.9472
0.00357 351929 0.0 0.9999 1.0000 0.9457 0.9999 1.0000 1.0000 0.9457
0.00367 351894 0.0 0.9999 1.0000 0.9442 0.9999 1.0000 1.0000 0.9442
0.00377 351859 0.0 0.9999 1.0000 0.9426 0.9999 1.0000 1.0000 0.9426
0.00386 351824 0.0 0.9999 1.0000 0.9411 0.9999 1.0000 1.0000 0.9411
0.00396 351789 0.0 0.9999 1.0000 0.9396 0.9999 1.0000 1.0000 0.9396
0.00406 351754 0.0 0.9999 1.0000 0.9381 0.9999 1.0000 1.0000 0.9381
0.00416 351719 0.0 0.9999 1.0000 0.9365 0.9999 1.0000 1.0000 0.9365
0.00426 351684 0.0 0.9999 1.0000 0.9350 0.9999 1.0000 1.0000 0.9350
0.00436 351649 0.0 0.9999 1.0000 0.9335 0.9999 1.0000 1.0000 0.9335
0.00446 351614 0.0 0.9999 1.0000 0.9319 0.9999 1.0000 1.0000 0.9319
0.00456 351579 0.0 0.9999 1.0000 0.9304 0.9999 1.0000 1.0000 0.9304
0.00466 351544 0.0 0.9999 1.0000 0.9289 0.9999 1.0000 1.0000 0.9289
0.00476 351509 0.0 0.9999 1.0000 0.9274 0.9999 1.0000 1.0000 0.9274
0.00486 351474 0.0 0.9999 1.0000 0.9258 0.9999 1.0000 1.0000 0.9258
0.00495 351439 0.0 0.9999 1.0000 0.9243 0.9999 1.0000 1.0000 0.9243
0.00505 351404 0.0 0.9999 1.0000 0.9228 0.9999 1.0000 1.0000 0.9228
0.00515 351369 0.0 0.9999 1.0000 0.9212 0.9999 1.0000 1.0000 0.9212
0.00525 351334 0.0 0.9999 1.0000 0.9197 0.9999 1.0000 1.0000 0.9197
0.00535 351299 0.0 0.9999 1.0000 0.9182 0.9999 1.0000 1.0000 0.9182
0.00545 351264 0.0 0.9999 1.0000 0.9167 0.9999 1.0000 1.0000 0.9167
0.00555 351229 0.0 0.9999 1.0000 0.9151 0.9999 1.0000 1.0000 0.9151
0.00565 351194 0.0 0.9999 1.0000 0.9136 0.9999 1.0000 1.0000 0.9136
