"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0237 0.0018
0.00020 0.0231 0.0018
0.00029 0.0231 0.0024
0.00039 0.0237 0.0018
0.00049 0.0243 0.0018
0.00059 0.0225 0.0018
0.00069 0.0231 0.0018
0.00079 0.0243 0.0024
0.00088 0.0237 0.0018
0.00098 0.0231 0.0018
0.00108 0.0231 0.0018
0.00118 0.0237 0.0018
0.00128 0.0237 0.0024
0.00137 0.0231 0.0018
0.00147 0.0231 0.0018
0.00157 0.0237 0.0018
0.00167 0.0243 0.0018
0.00177 0.0225 0.0024
0.00187 0.0231 0.0018
0.00196 0.0243 0.0018
0.00206 0.0237 0.0018
0.00216 0.0231 0.0018
0.00226 0.0231 0.0024
0.00236 0.0237 0.0018
0.00245 0.0237 0.0018
0.00255 0.0231 0.0018
0.00265 0.0231 0.0018
0.00275 0.0237 0.0024
0.00285 0.0237 0.0018
0.00295 0.0231 0.0018
0.00304 0.0231 0.0018
0.00314 0.0243 0.0018
0.00324 0.0237 0.0024
0.00334 0.0231 0.0018
0.00344 0.0231 0.0018
0.00354 0.0237 0.0018
0.00363 0.0237 0.0018
0.00373 0.0231 0.0024
0.00383 0.0231 0.0018
0.00393 0.0237 0.0018
0.00403 0.0237 0.0018
0.00412 0.0231 0.0018
0.00422 0.0231 0.0024
0.00432 0.0243 0.0018
0.00442 0.0225 0.0018
0.00452 0.0243 0.0018
0.00462 0.0231 0.0018
0.00471 0.0237 0.0024
0.00481 0.0231 0.0018
0.00491 0.0237 0.0018
0.00501 0.0231 0.0018
0.00511 0.0237 0.0018
0.00520 0.0231 0.0024
0.00530 0.0237 0.0018
0.00540 0.0231 0.0018
0.00550 0.0237 0.0018
0.00560 0.0231 0.0018
0.00570 0.0243 0.0024
0.00579 0.0231 0.0018
0.00589 0.0237 0.0018
0.00599 0.0231 0.0018
0.00609 0.0237 0.0018
0.00619 0.0231 0.0024
0.00628 0.0237 0.0018
0.00638 0.0231 0.0018
0.00648 0.0237 0.0030
0.00658 0.0231 0.0018
0.00668 0.0237 0.0018
0.00678 0.0231 0.0018
0.00687 0.0243 0.0024
0.00697 0.0231 0.0018
0.00707 0.0237 0.0018
0.00717 0.0231 0.0018
0.00727 0.0237 0.0018
0.00736 0.0231 0.0024
0.00746 0.0237 0.0018
0.00756 0.0231 0.0018
0.00766 0.0237 0.0018
0.00776 0.0231 0.0018
0.00786 0.0237 0.0024
0.00795 0.0231 0.0018
0.00805 0.0243 0.0018
0.00815 0.0225 0.0018
0.00825 0.0243 0.0018
0.00835 0.0231 0.0024
0.00845 0.0237 0.0018
0.00854 0.0231 0.0018
0.00864 0.0237 0.0018
0.00874 0.0231 0.0018
0.00884 0.0237 0.0024
0.00894 0.0231 0.0018
0.00903 0.0237 0.0018
0.00913 0.0231 0.0018
0.00923 0.0243 0.0018
0.00933 0.0225 0.0024
0.00943 0.0243 0.0018
0.00953 0.0231 0.0018
0.00962 0.0231 0.0018
0.00972 0.0237 0.0018
0.00982 0.0237 0.0024
0.00992 0.0231 0.0018
0.01002 0.0231 0.0018
0.01011 0.0237 0.0018
0.01021 0.0237 0.0018
0.01031 0.0231 0.0024
0.01041 0.0231 0.0018
0.01051 0.0237 0.0018
0.01061 0.0243 0.0018
0.01070 0.0231 0.0018
0.01080 0.0225 0.0024
0.01090 0.0243 0.0018
0.01100 0.0237 0.0018
0.01110 0.0231 0.0018
0.01119 0.0231 0.0018
0.01129 0.0237 0.0024
0.01139 0.0237 0.0018
0.01149 0.0231 0.0018
0.01159 0.0231 0.0018
0.01169 0.0237 0.0018
0.01178 0.0243 0.0024
0.01188 0.0231 0.0018
0.01198 0.0225 0.0018
