"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00010 1.0000 1.0000 1.0000 1.0000 1.0000 0.9982 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00020 1.0000 1.0000 1.0000 1.0000 1.0000 0.9964 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00029 1.0000 1.0000 1.0000 1.0000 1.0000 0.9946 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00039 1.0000 1.0000 1.0000 1.0000 1.0000 0.9928 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00049 1.0000 1.0000 1.0000 1.0000 1.0000 0.9910 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00059 1.0000 1.0000 1.0000 1.0000 1.0000 0.9892 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00069 1.0000 1.0000 1.0000 1.0000 1.0000 0.9874 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00079 1.0000 1.0000 1.0000 1.0000 1.0000 0.9856 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00088 1.0000 1.0000 1.0000 1.0000 1.0000 0.9838 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00098 1.0000 1.0000 1.0000 1.0000 1.0000 0.9820 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00108 1.0000 1.0000 1.0000 1.0000 1.0000 0.9802 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00118 1.0000 1.0000 1.0000 0.9999 1.0000 0.9784 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00128 1.0000 1.0000 1.0000 0.9999 1.0000 0.9766 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00137 1.0000 1.0000 1.0000 0.9999 1.0000 0.9748 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00147 1.0000 1.0000 1.0000 0.9999 1.0000 0.9730 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00157 1.0000 1.0000 1.0000 0.9999 1.0000 0.9712 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00167 1.0000 1.0000 1.0000 0.9999 1.0000 0.9694 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00177 1.0000 1.0000 1.0000 0.9999 1.0000 0.9676 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00187 1.0000 1.0000 1.0000 0.9999 1.0000 0.9658 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00196 1.0000 1.0000 1.0000 0.9999 1.0000 0.9640 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00206 1.0000 1.0000 1.0000 0.9999 1.0000 0.9622 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00216 1.0000 1.0000 1.0000 0.9999 1.0000 0.9604 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00226 1.0000 1.0000 1.0000 0.9999 1.0000 0.9586 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00236 1.0000 1.0000 1.0000 0.9999 1.0000 0.9568 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00245 1.0000 1.0000 1.0000 0.9999 1.0000 0.9550 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00255 1.0000 1.0000 1.0000 0.9999 1.0000 0.9532 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00265 1.0000 1.0000 1.0000 0.9999 1.0000 0.9514 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00275 1.0000 1.0000 1.0000 0.9999 1.0000 0.9496 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00285 1.0000 1.0000 1.0000 0.9999 1.0000 0.9478 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00295 1.0000 1.0000 1.0000 0.9999 1.0000 0.9460 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00304 1.0000 1.0000 1.0000 0.9999 1.0000 0.9442 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00314 1.0000 1.0000 1.0000 0.9999 1.0000 0.9424 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00324 1.0000 1.0000 1.0000 0.9999 1.0000 0.9406 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00334 1.0000 1.0000 1.0000 0.9998 1.0000 0.9388 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00344 1.0000 1.0000 1.0000 0.9998 1.0000 0.9370 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00354 1.0000 1.0000 1.0000 0.9998 1.0000 0.9352 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00363 1.0000 1.0000 1.0000 0.9998 1.0000 0.9334 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
