"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 488801 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 488753 0.0 1.0000 1.0000 0.9982 1.0000 1.0000 1.0000 0.9982
0.00020 488705 0.0 1.0000 1.0000 0.9964 1.0000 1.0000 1.0000 0.9964
0.00029 488657 0.0 1.0000 1.0000 0.9946 1.0000 1.0000 1.0000 0.9946
0.00039 488609 0.0 1.0000 1.0000 0.9928 1.0000 1.0000 1.0000 0.9928
0.00049 488561 0.0 1.0000 1.0000 0.9910 1.0000 1.0000 1.0000 0.9910
0.00059 488513 0.0 1.0000 1.0000 0.9892 1.0000 1.0000 1.0000 0.9892
0.00069 488465 0.0 1.0000 1.0000 0.9874 1.0000 1.0000 1.0000 0.9874
0.00079 488417 0.0 1.0000 1.0000 0.9856 1.0000 1.0000 1.0000 0.9856
0.00088 488369 0.0 1.0000 1.0000 0.9838 1.0000 1.0000 1.0000 0.9838
0.00098 488321 0.0 1.0000 1.0000 0.9820 1.0000 1.0000 1.0000 0.9820
0.00108 488273 0.0 1.0000 1.0000 0.9802 1.0000 1.0000 1.0000 0.9802
0.00118 488225 0.0 1.0000 1.0000 0.9784 1.0000 1.0000 1.0000 0.9784
0.00128 488177 0.0 1.0000 1.0000 0.9766 1.0000 1.0000 1.0000 0.9766
0.00137 488129 0.0 1.0000 1.0000 0.9748 1.0000 1.0000 1.0000 0.9748
0.00147 488081 0.0 1.0000 1.0000 0.9730 1.0000 1.0000 1.0000 0.9730
0.00157 488033 0.0 1.0000 1.0000 0.9712 1.0000 1.0000 1.0000 0.9712
0.00167 487985 0.0 1.0000 1.0000 0.9694 1.0000 1.0000 1.0000 0.9694
0.00177 487937 0.0 1.0000 1.0000 0.9676 1.0000 1.0000 1.0000 0.9676
0.00187 487889 0.0 1.0000 1.0000 0.9658 1.0000 1.0000 1.0000 0.9658
0.00196 487841 0.0 1.0000 1.0000 0.9640 1.0000 1.0000 1.0000 0.9640
0.00206 487793 0.0 1.0000 1.0000 0.9622 1.0000 1.0000 1.0000 0.9622
0.00216 487745 0.0 0.9999 1.0000 0.9604 0.9999 1.0000 1.0000 0.9604
0.00226 487697 0.0 0.9999 1.0000 0.9586 0.9999 1.0000 1.0000 0.9586
0.00236 487649 0.0 0.9999 1.0000 0.9568 0.9999 1.0000 1.0000 0.9568
0.00245 487601 0.0 0.9999 1.0000 0.9550 0.9999 1.0000 1.0000 0.9550
0.00255 487553 0.0 0.9999 1.0000 0.9532 0.9999 1.0000 1.0000 0.9532
0.00265 487505 0.0 0.9999 1.0000 0.9514 0.9999 1.0000 1.0000 0.9514
0.00275 487457 0.0 0.9999 1.0000 0.9496 0.9999 1.0000 1.0000 0.9496
0.00285 487409 0.0 0.9999 1.0000 0.9478 0.9999 1.0000 1.0000 0.9478
0.00295 487361 0.0 0.9999 1.0000 0.9460 0.9999 1.0000 1.0000 0.9460
0.00304 487313 0.0 0.9999 1.0000 0.9442 0.9999 1.0000 1.0000 0.9442
