"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00010 1.0000 1.0000 1.0000 0.9994 1.0000 0.7405 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00020 1.0000 1.0000 1.0000 0.9987 1.0000 0.4811 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00029 1.0000 1.0000 1.0000 0.9981 1.0000 0.2216 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00039 1.0000 1.0000 1.0000 0.9950 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00049 1.0000 1.0000 1.0000 0.9945 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00059 1.0000 1.0000 1.0000 0.9940 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00069 1.0000 1.0000 1.0000 0.9935 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00079 1.0000 1.0000 1.0000 0.9930 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00088 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00098 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00108 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00118 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00128 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00137 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00147 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00157 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00167 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00177 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00187 1.0000 1.0000 1.0000 0.9901 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00196 1.0000 1.0000 1.0000 0.9900 1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
